"spo","pval","gene","funct","NCBI","padj"
"SPO0033",1.0132,"SPO0033","transcriptional regulator, LysR family","SPO_RS00165",1
"SPO0034",0.0778,"SPO0034","hypothetical protein","SPO_RS00170",0.499678956521739
"SPO0035",0.0316,"SPO0035","core-2/I-branching enzyme family protein","SPO_RS00175",0.226160465116279
"SPO0036",0.9926,"SPO0036","hypothetical protein","SPO_RS00180",1
"SPO0037",0.305,"SPO0037","hypothetical protein","SPO_RS00185",0.989555399473222
"SPO0040",0.9926,"SPO0040","ABC transporter, permease protein","SPO_RS00200",1
"SPO0041",1.0098,"SPO0041","hypothetical protein","SPO_RS22085",1
"SPO0042",0.9826,"SPO0042","alkylated DNA repair protein, putative","SPO_RS00210",1
"SPO0044",0.395,"dnaJ","chaperone protein DnaJ","SPO_RS00220",1
"SPO0045",0.4192,"thiD","phosphomethylpyrimidine kinase","SPO_RS00225",1
"SPO0046",0,"SPO0046","thiamine biosynthesis oxidoreductase ThiO, putative","SPO_RS00230",0
"SPO0046a",0.7376,"thiS","thiamine biosynthesis protein ThiS","SPO_RS00235",1
"SPO0047",0.3704,"thiG","thiazole biosynthesis protein ThiG","SPO_RS00240",1
"SPO0048",0.9982,"thiE","thiamine-phosphate pyrophosphorylase","SPO_RS00245",1
"SPO0049",0.145,"SPO0049","thiamine biosynthesis protein ThiF","SPO_RS00250",0.686768421052632
"SPO0050",0.2656,"SPO0050","ABC transporter, periplasmic substrate-binding protein","SPO_RS00255",0.955073807205453
"SPO0051",0.2678,"SPO0051","TENA/THI-4 family protein","SPO_RS00260",0.961113119533528
"SPO0052",0.9922,"SPO0052","ABC transporter, ATP-binding protein","SPO_RS00265",1
"SPO0053",0.8452,"SPO0053","ABC transporter, permease protein","SPO_RS00270",1
"SPO0054",0.3232,"radC","DNA repair protein RadC","SPO_RS00275",1
"SPO0055",0.4354,"SPO0055","OmpA domain protein","SPO_RS00280",1
"SPO0056",0.4298,"SPO0056","hypothetical protein","SPO_RS00285",1
"SPO0057",0.9848,"secA","preprotein translocase, SecA subunit","SPO_RS00290",1
"SPO0058",1.0166,"SPO0058","PPIC-type PPIASE domain protein","SPO_RS00295",1
"SPO0059",0.317,"argJ","glutamate N-acetyltransferase/amino-acid acetyltransferase","SPO_RS00300",1
"SPO0060",0,"mutT","mutator mutT protein","SPO_RS00305",0
"SPO0062",0.8266,"SPO0062","hypothetical protein","SPO_RS00315",1
"SPO0063",0.7054,"nusA","transcription termination factor NusA","SPO_RS00320",1
"SPO0066",1.2414,"pip","proline iminopeptidase","SPO_RS00335",1
"SPO0067",0.0274,"ubiG","3-demethylubiquinone-9 3-methyltransferase","SPO_RS00340",0.222776113360324
"SPO0068",0.1978,"SPO0068","transcriptional regulator, putative","SPO_RS00345",0.829057752808989
"SPO0069",1.1134,"SPO0069","hydrolase, carbon-nitrogen family","SPO_RS00350",1
"SPO0070",1.019,"SPO0070","glutaredoxin","SPO_RS00355",1
"SPO0071",0,"SPO0071","competence protein F, putative","SPO_RS00360",0
"SPO0072",0.4782,"SPO0072","hypothetical protein","SPO_RS00365",1
"SPO0075",1.5866,"SPO0075","ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein","SPO_RS00380",1
"SPO0077",0.2878,"ptsN","PTS IIA-like nitrogen-regulatory protein PtsN","SPO_RS00390",0.96382331838565
"SPO0078",0,"SPO0078","ribosomal subunit interface protein, putative","SPO_RS00395",0
"SPO0084",0,"betB","betaine aldehyde dehydrogenase","SPO_RS00425",0
"SPO0085",0.1716,"SPO0085","hypothetical protein","SPO_RS00430",0.767214043583535
"SPO0086",1.5794,"SPO0086","lipoprotein, putative","SPO_RS00435",1
"SPO0087",0.148,"SPO0087","hypothetical protein","SPO_RS00440",0.686768421052632
"SPO0088",1.1422,"SPO0088","hypothetical protein","SPO_RS00445",1
"SPO0089",0.8588,"SPO0089","hypothetical protein","SPO_RS00450",1
"SPO0090",0,"SPO0090","hypothetical protein","SPO_RS00455",0
"SPO0091",1.0026,"SPO0091","rhodanese-like domain protein","SPO_RS00460",1
"SPO0092",0.5272,"SPO0092","heat shock protein, Hsp70 family","SPO_RS00465",1
"SPO0093",0.9948,"pncA","pyrazinamidase/nicotinamidase","SPO_RS00470",1
"SPO0094",1.0598,"SPO0094","sensory box sensor histidine kinase/response regulator","SPO_RS00475",1
"SPO0095",0.1136,"pncB","nicotinate phosphoribosyltransferase","SPO_RS00480",0.613721098265896
"SPO0096",0.8236,"SPO0096","hypothetical protein","SPO_RS00485",1
"SPO0097",0.4014,"SPO0097","aldehyde dehydrogenase family protein","SPO_RS00490",1
"SPO0098",0.6614,"SPO0098","peptide/opine/nickel uptake family ABC transporter, ATP-binding protein","SPO_RS00495",1
"SPO0099",0.8348,"SPO0099","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00500",1
"SPO0100",0.9998,"SPO0100","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00505",1
"SPO0101",0.3608,"SPO0101","peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein","SPO_RS00510",1
"SPO0102",0,"panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","SPO_RS00515",0
"SPO0103",0.0304,"panC","pantoate--beta-alanine ligase","SPO_RS00520",0.22363984063745
"SPO0104",0.1432,"glpK","glycerol kinase","SPO_RS00525",0.686768421052632
"SPO0105",1.005,"SPO0105","monooxygenase family protein","SPO_RS00530",1
"SPO0106",0.9898,"SPO0106","hypothetical protein","SPO_RS00535",1
"SPO0107",0.998,"recQ","ATP-dependent DNA helicase RecQ","SPO_RS00540",1
"SPO0108",0.9816,"SPO0108","transposase, truncation","SPO_RS22360",1
"SPO0109",1.3022,"SPO0109","hypothetical protein","SPO_RS00545",1
"SPO0110",2,"SPO0110","ABC transporter, ATP binding/permease protein","SPO_RS00550",1
"SPO0111",1.5692,"SPO0111","hypothetical protein","SPO_RS00555",1
"SPO0112",0.9922,"SPO0112","poly(3-hydroxyalkanoate) polymerase family protein","SPO_RS00560",1
"SPO0113",1.0058,"fabI-1","enoyl-(acyl-carrier-protein) reductase","SPO_RS00565",1
"SPO0114",1.0006,"SPO0114","hypothetical protein","SPO_RS00570",1
"SPO0115",0,"SPO0115","maoC family protein/phosphate acetyl/butaryl transferase","SPO_RS00575",0
"SPO0116",1.004,"ackA","acetate kinase","SPO_RS00580",1
"SPO0118",0,"SPO0118","hypothetical protein","SPO_RS00600",0
"SPO0119",0.0276,"SPO0119","transcriptional regulator, AsnC family","SPO_RS00605",0.222776113360324
"SPO0120",0.8762,"SPO0120","hypothetical protein","SPO_RS00610",1
"SPO0122",1.0004,"SPO0122","YGGT family protein","SPO_RS00625",1
"SPO0123",0.4322,"SPO0123","hypothetical protein","SPO_RS00630",1
"SPO0124",0,"mepA","murein endopeptidase","SPO_RS00635",0
"SPO0125",0.9928,"SPO0125","hypothetical protein","SPO_RS00640",1
"SPO0126",1.006,"SPO0126","hypothetical protein","SPO_RS00645",1
"SPO0127",0.999,"SPO0127","peptidyl-tRNA hydrolase domain protein","SPO_RS00650",1
"SPO0128",1.2764,"SPO0128","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS00655",1
"SPO0129",1.0902,"SPO0129","peptidase, T4 family","SPO_RS00660",1
"SPO0130",0.6778,"SPO0130","cytochrome c family protein","SPO_RS00665",1
"SPO0131",0.99,"idi","isopentyl-diphosphate delta-isomerase","SPO_RS00670",1
"SPO0132",0,"SPO0132","sensor histidine kinase/response regulator","SPO_RS00675",0
"SPO0133",0.858,"SPO0133","PAN domain protein","SPO_RS00680",1
"SPO0134",0.2272,"SPO0134","hypothetical protein","SPO_RS00685",0.886164668769716
"SPO0135",1.065,"pbpC","penicillin-binding protein 1C","SPO_RS00690",1
"SPO0136",0.5774,"SPO0136","hypothetical protein","SPO_RS00695",1
"SPO0137",0.9852,"SPO0137","hypothetical protein","SPO_RS00700",1
"SPO0138",0.089,"SPO0138","hypothetical protein","SPO_RS00705",0.514361502347418
"SPO0139",0.9932,"SPO0139","ATPase, MoxR family","SPO_RS00710",1
"SPO0140",0.8764,"SPO0140","hypothetical protein","SPO_RS00715",1
"SPO0141",0.6226,"SPO0141","DNA binding protein, putative","SPO_RS00720",1
"SPO0142",1.0024,"bktB","beta-ketothiolase","SPO_RS00730",1
"SPO0143",0.3012,"SPO0143","iron-sulfur cluster-binding protein","SPO_RS00735",0.981757811120918
"SPO0144",NA,"ubiB","2-polyprenylphenol 6-hydroxylase","SPO_RS00740",NA
"SPO0146",0,"mutM","formamidopyrimidine-DNA glycosylase","SPO_RS00750",0
"SPO0147",0.3944,"SPO0147","enoyl-CoA hydratase","SPO_RS00755",1
"SPO0151",0.5404,"recF","DNA replication and repair protein RecF","SPO_RS00775",1
"SPO0152",0,"SPO0152","transporter, LysE family","SPO_RS00780",0
"SPO0153",0.3776,"SPO0153","transcriptional regulator, TetR family","SPO_RS00785",1
"SPO0154",0.4276,"SPO0154","NAD(P)H dehydrogenase, quinone family","SPO_RS00790",1
"SPO0156",0.3622,"rtcR","transcriptional regulator RtcR","SPO_RS00800",1
"SPO0157",0,"SPO0157","TROVE domain protein","SPO_RS00805",0
"SPO0160",0,"SPO0160","hypothetical protein","SPO_RS00820",0
"SPO0161",0.1402,"SPO0161","DNA-binding response regulator, LuxR family","SPO_RS00825",0.686768421052632
"SPO0162",0.8198,"SPO0162","hypothetical protein","SPO_RS00830",1
"SPO0163",0.8444,"SPO0163","sensory box histidine kinase/response regulator","SPO_RS00835",1
"SPO0164",1.1074,"SPO0164","oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase","SPO_RS00840",1
"SPO0165",0.7632,"SPO0165","pyrroline-5-carboxylate reductase, putative","SPO_RS00845",1
"SPO0166",0.7576,"SPO0166","N-methylproline demethylase, putative","SPO_RS00850",1
"SPO0167",0.7756,"SPO0167","trimethylamine methyltransferase family protein","SPO_RS00855",1
"SPO0168",0.5452,"SPO0168","transcriptional regulator, TetR family","SPO_RS00860",1
"SPO0169",0.667,"SPO0169","transglycosylase, Slt family","SPO_RS00865",1
"SPO0170",0.6524,"flhA","flagellar biosynthesis protein FlhA","SPO_RS00870",1
"SPO0171",0.7312,"fliR","flagellar biosynthetic protein FliR","SPO_RS00875",1
"SPO0172",0.8648,"flhB","flagellar biosynthetic protein FlhB","SPO_RS00880",1
"SPO0173",0.6316,"SPO0173","hypothetical protein","SPO_RS00885",1
"SPO0174",0.3388,"SPO0174","hypothetical protein","SPO_RS00890",1
"SPO0175",0.8558,"flgH","flagellar L-ring protein FlgH","SPO_RS00895",1
"SPO0176",0.5748,"flgA","flagellar basal-body P-ring formation protein FlgA","SPO_RS00900",1
"SPO0177",0.9748,"flgG","flagellar basal-body rod protein FlgG","SPO_RS00905",1
"SPO0178",0.757,"flgF","flagellar basal-body rod protein FlgF","SPO_RS00910",1
"SPO0179",0.721,"fliQ","flagellar biosynthetic protein FliQ","SPO_RS00915",1
"SPO0180",0.7156,"SPO0180","flagellar hook-basal body complex protein FliE, putative","SPO_RS00920",1
"SPO0181",0.4848,"flgC","flagellar basal-body rod protein FlgC","SPO_RS00925",1
"SPO0182",0.0908,"flgB","flagellar basal-body rod protein FlgB","SPO_RS00930",0.521499844479005
"SPO0183",0.9498,"fliI","H+-transporting two-sector ATPase, flagellum-specific","SPO_RS00935",1
"SPO0184",1.5654,"tctA","TctA channel protein","SPO_RS00940",1
"SPO0185",0.7626,"tctB","TctB smaller channel protein, 4 transmembrane domains; tripartite tricarboxylate TTT transporter","",1
"SPO0186",0,"tctC","TctC solute-binding protein; tripartite tricarboxylate TTT transporter","SPO_RS00950",0
"SPO0187",0.9914,"tctD","TctD DNA-binding response regulator; tripartite tricarboxylate TTT transporter","SPO_RS00955",1
"SPO0188",0.395,"SPO0188","two-component sensor protein","SPO_RS00960",1
"SPO0189",1.1794,"SPO0189","putative iron(III) substrate binding protein","SPO_RS00965",1
"SPO0190",1.0066,"SPO0190","oxidoreductase, GMC family","SPO_RS00970",1
"SPO0191",0.66,"motB","chemotaxis protein MotB","SPO_RS00975",1
"SPO0192",0.8036,"SPO0192","flagellar hook protein FlgE, putative","SPO_RS00980",1
"SPO0193",0.5588,"SPO0193","flagellar hook-associated protein FlgK, putative","SPO_RS00985",1
"SPO0194",0.4282,"SPO0194","flagellar hook-associated protein FlgL family protein","SPO_RS00990",1
"SPO0195",0.5712,"flgI","flagellar P-ring protein FlgI","SPO_RS00995",1
"SPO0196",0.648,"fliP","flagellar biosynthetic protein FliP","SPO_RS01000",1
"SPO0197",0,"fliN","flagellar motor switch protein FliN","SPO_RS01005",0
"SPO0198",0.9286,"SPO0198","ABC transporter, ATP-binding protein, flagellar, putative","SPO_RS01010",1
"SPO0199",1.011,"fliF","flagellar M-ring protein FliF","SPO_RS01015",1
"SPO0200",0,"fliL","flagellar basal body-associated protein FliL","SPO_RS01020",0
"SPO0201",0.3162,"SPO0201","hypothetical protein","SPO_RS01025",1
"SPO0202",0.9816,"SPO0202","hypothetical protein","SPO_RS01030",1
"SPO0203",0.023,"motA","chemotaxis protein MotA","SPO_RS01035",0.217792307692308
"SPO0204",0.8768,"SPO0204","hypothetical protein","SPO_RS01040",1
"SPO0205",0.7188,"SPO0205","MmgE/PrpD family protein","SPO_RS01045",1
"SPO0206",0.712,"SPO0206","transcriptional regulator, LysR family","SPO_RS01050",1
"SPO0207",0.965,"SPO0207","aminomethyl transferase family protein","SPO_RS01055",1
"SPO0209",0.6958,"SPO0209","Na/Pi-cotransporter family protein","SPO_RS01065",1
"SPO0210",0.1438,"leuB","3-isopropylmalate dehydrogenase","SPO_RS01070",0.686768421052632
"SPO0211",0.9874,"SPO0211","transcriptional regulator, LysR family","SPO_RS01075",1
"SPO0212",0.8478,"SPO0212","hypothetical protein","SPO_RS01080",1
"SPO0213",0.45,"SPO0213","hypothetical protein","SPO_RS01085",1
"SPO0214",1.0132,"SPO0214","hypothetical protein","SPO_RS01090",1
"SPO0215",0.03,"leuD-1","3-isopropylmalate dehydratase, small subunit","SPO_RS01095",0.222917505030181
"SPO0216",0,"leuC-1","3-isopropylmalate dehydratase, large subunit","SPO_RS01100",0
"SPO0217",0.1488,"SPO0217","hypothetical protein","",0.686898
"SPO0218",0.713,"SPO0218","mechanosensitive ion channel family protein","SPO_RS01110",1
"SPO0219",0.0322,"SPO0219","iojap-related protein","SPO_RS01115",0.228242994241843
"SPO0220",0,"rimH","Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177)","SPO_RS01120",0
"SPO0221",0.1972,"SPO0221","hypothetical protein","SPO_RS01125",0.829057752808989
"SPO0222",0.0308,"ald","alanine dehydrogenase","SPO_RS01130",0.224037181996086
"SPO0223",0.3842,"SPO0223","transcriptional regulator, AsnC family","SPO_RS01135",1
"SPO0224",0.4574,"SPO0224","polyphosphate kinase, putative","SPO_RS01140",1
"SPO0225",0.917,"SPO0225","transcriptional regulator, putative","SPO_RS01145",1
"SPO0226",0,"SPO0226","cytochrome P450 family protein","SPO_RS01150",0
"SPO0227",0,"SPO0227","PaxA, putative","",0
"SPO0228",0.9776,"SPO0228","hypothetical protein","",1
"SPO0230",0.1918,"SPO0230","hypothetical protein","SPO_RS01175",0.82650805134189
"SPO0231",1.018,"SPO0231","alcohol dehydrogenase, zinc-containing","SPO_RS01180",1
"SPO0232",0,"SPO0232","quinone oxidoreductase, putative","SPO_RS01185",0
"SPO0233",0.8706,"SPO0233","transcriptional regulator, AsnC family","SPO_RS01190",1
"SPO0234",1.5778,"lysdh","Lysine dehydrogenase","SPO_RS01195",1
"SPO0235",0.9846,"aasadh","alpha-aminoadipic semialdehyde dehydrogenase","SPO_RS01200",1
"SPO0236",0.913,"SPO0236","glycerophosphoryl diester phosphodiesterase, putative","SPO_RS01205",1
"SPO0237",1.0124,"ugpC","SN-glycerol-3-phosphate ABC transporter, ATP-binding protein","SPO_RS01210",1
"SPO0238",0.9996,"ugpE","SN-glycerol-3-phosphate ABC transporter, permease protein","SPO_RS01215",1
"SPO0239",1.2824,"ugpA","SN-glycerol-3-phosphate ABC transporter, permease protein","SPO_RS01220",1
"SPO0240",0.7064,"ugpB","SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein","SPO_RS01225",1
"SPO0241",0,"SPO0241","transcriptional regulator, LysR family","SPO_RS01230",0
"SPO0248",0,"ispA","farnesyl diphosphate synthase","SPO_RS01265",0
"SPO0249",0.9884,"xseB","exodeoxyribonuclease VII, small subunit","SPO_RS01270",1
"SPO0250",0.4388,"SPO0250","histone deacetylase family protein","SPO_RS01275",1
"SPO0252",0,"petP","transcriptional regulator PetP","SPO_RS01285",0
"SPO0253",0,"ilvE","branched-chain amino acid aminotransferase","SPO_RS01290",0
"SPO0254",0,"ohr","organic hydroperoxide resistance protein","SPO_RS01295",0
"SPO0255",0.512,"SPO0255","transcriptional regulator, MarR family","SPO_RS01300",1
"SPO0256",0.125,"SPO0256","copper-binding protein, plastocyanin/azurin family","SPO_RS01305",0.634972489683631
"SPO0257",0.6944,"SPO0257","hypothetical protein","SPO_RS01310",1
"SPO0258",1.2748,"SPO0258","transcriptional regulator, AraC family","SPO_RS01315",1
"SPO0259",0.2212,"SPO0259","hypothetical protein","SPO_RS01320",0.884081818181818
"SPO0260",0.9896,"SPO0260","alkaline phosphatase, putative","SPO_RS01325",1
"SPO0261",1.156,"SPO0261","hypothetical protein","SPO_RS01330",1
"SPO0263",0.7902,"SPO0263","membrane protein","SPO_RS01340",1
"SPO0264",1.007,"SPO0264","CaiB/BaiF family protein","SPO_RS01345",1
"SPO0265",0.1746,"SPO0265","auxin efflux carrier family protein","SPO_RS01350",0.773138848920863
"SPO0266",0.6322,"SPO0266","HD domain protein","SPO_RS01355",1
"SPO0268",0.121,"ribH-1","riboflavin synthase, beta subunit","",0.620629166666667
"SPO0269",0.9994,"SPO0269","negative transcriptional regulator","SPO_RS01370",1
"SPO0270",0,"SPO0270","glutathione S-transferase family protein","SPO_RS01375",0
"SPO0273",NA,"petC","ubiquinol--cytochrome c reductase, cytochrome c1","SPO_RS01390",NA
"SPO0274",0,"SPO0274","hypothetical protein","",0
"SPO0275",0.988,"SPO0275","cytochrome b, putative","SPO_RS01400",1
"SPO0276",0.6862,"SPO0276","transcriptional regulator, LuxR family","SPO_RS01405",1
"SPO0277",0.7348,"SPO0277","MiaB-like tRNA modifying enzyme","SPO_RS01410",1
"SPO0280",1.0094,"SPO0280","transposase, truncation","",1
"SPO0281",0.6618,"SPO0281","hypothetical protein","SPO_RS01425",1
"SPO0282",0.115,"SPO0282","hypothetical protein","SPO_RS01430",0.613721098265896
"SPO0284",0.0568,"SPO0284","dihydroorotase, multifunctional complex type","SPO_RS01440",0.379927338129496
"SPO0285",0,"SPO0285","hypothetical protein","SPO_RS01445",0
"SPO0286",0,"SPO0286","hypothetical protein","SPO_RS01450",0
"SPO0287",0.1404,"pyrB","aspartate carbamoyltransferase","SPO_RS01455",0.686768421052632
"SPO0289",0.147,"SPO0289","Ser/Thr protein phosphatase family protein","SPO_RS01470",0.686768421052632
"SPO0290",0.7178,"SPO0290","transmembrane amino acid efflux protein","SPO_RS01475",1
"SPO0291",0.0526,"SPO0291","molybdenum cofactor biosynthesis protein B","SPO_RS01480",0.362410074626866
"SPO0292",0.938,"SPO0292","efflux transporter, RND family, MFP subunit","SPO_RS01485",1
"SPO0293",0,"SPO0293","transporter, AcrB/AcrD/AcrF family","SPO_RS01490",0
"SPO0294",0.4788,"SPO0294","hydrolase, NUDIX family","SPO_RS01495",1
"SPO0295",1.0064,"SPO0295","hypothetical protein","SPO_RS01500",1
"SPO0296",1.5692,"SPO0296","hypothetical protein","SPO_RS01505",1
"SPO0297",0.0524,"SPO0297","Sua5/YciO/YrdC family protein","SPO_RS01510",0.362384269662921
"SPO0298",0,"SPO0298","acyl-CoA dehydrogenase family protein","SPO_RS01515",0
"SPO0299",1.1604,"SPO0299","metallo-beta-lactamase family protein","SPO_RS01520",1
"SPO0300",1.0268,"SPO0300","hypothetical protein","SPO_RS01525",1
"SPO0301",0.0282,"SPO0301","glycerophosphoryl diester phosphodiesterase family protein","SPO_RS01530",0.222776113360324
"SPO0302",0.114,"SPO0302","hypothetical protein","SPO_RS01535",0.613721098265896
"SPO0303",0.2254,"SPO0303","cytochrome c oxidase, subunit IV domain protein","SPO_RS01540",0.885534255319149
"SPO0304",1.5696,"SPO0304","lipoprotein, putative","SPO_RS01545",1
"SPO0305",0.8284,"SPO0305","AzlC family protein","SPO_RS01555",1
"SPO0306",0.0288,"fdhD","formate dehydrogenase accessory protein FdhD","SPO_RS01560",0.222776113360324
"SPO0307",0,"mobA","molybdopterin-guanine dinucleotide biosynthesis protein A","SPO_RS01570",0
"SPO0308",0.709,"mobB","molybdopterin-guanine dinucleotide biosynthesis protein B","SPO_RS01575",1
"SPO0309",0.4316,"SPO0309","hypothetical protein","SPO_RS01580",1
"SPO0310",0.226,"moeA","molybdopterin biosynthesis protein MoeA","SPO_RS01585",0.886164668769716
"SPO0311",0.9926,"SPO0311","hypothetical protein","SPO_RS01590",1
"SPO0312",1.2438,"greA","transcription elongation factor GreA","SPO_RS01595",1
"SPO0313",0.8894,"SPO0313","glyoxalase family protein","SPO_RS01600",1
"SPO0314",1.0072,"soxR","redox-sensitive transcriptional activator SoxR","SPO_RS01605",1
"SPO0315",0.7156,"SPO0315","hypothetical protein","SPO_RS01610",1
"SPO0317",0.4606,"SPO0317","TPR domain protein","SPO_RS01620",1
"SPO0320",0.7172,"SPO0320","hypothetical protein","SPO_RS01635",1
"SPO0321",0.1188,"SPO0321","hypothetical protein","SPO_RS01640",0.614465546218487
"SPO0322",0.0888,"SPO0322","hypothetical protein","SPO_RS22380",0.514361502347418
"SPO0323",0.2776,"SPO0323","hypothetical protein","SPO_RS01645",0.96382331838565
"SPO0324",0.7166,"SPO0324","transcriptional regulator, LysR family","SPO_RS01650",1
"SPO0325",0.0296,"phbB","acetoacetyl-CoA reductase","SPO_RS01655",0.222776113360324
"SPO0326",0.8716,"phbA","acetyl-CoA acetyltransferase","SPO_RS01660",1
"SPO0327",0.308,"SPO0327","EAL domain protein","SPO_RS01665",0.993400873362445
"SPO0328",0.285,"SPO0328","hypothetical protein","SPO_RS01670",0.96382331838565
"SPO0329",0.5642,"SPO0329","hypothetical protein","SPO_RS01675",1
"SPO0330",0.9564,"ccpA","cytochrome c peroxidase","SPO_RS01680",1
"SPO0331",1.0176,"SPO0331","thiol:disulfide interchange protein, putative","SPO_RS01685",1
"SPO0332",1.0058,"argH","argininosuccinate lyase","SPO_RS01690",1
"SPO0333",0.9952,"SPO0333","lipoprotein, putative","SPO_RS01695",1
"SPO0334",0.992,"lysA","diaminopimelate decarboxylase","SPO_RS01700",1
"SPO0335",0.5644,"SPO0335","hypothetical protein","SPO_RS01705",1
"SPO0336",0.842,"SPO0336","MJ0042 family finger-like domain protein","SPO_RS01710",1
"SPO0337",0,"ftsE","cell division ATP-binding protein FtsE","SPO_RS01715",0
"SPO0338",0,"SPO0338","cell division permease protein FtsX, putative","SPO_RS01720",0
"SPO0339",0.9112,"SPO0339","acyltransferase family protein","SPO_RS01725",1
"SPO0342",0.0586,"SPO0342","hypothetical protein","SPO_RS01735",0.387765
"SPO0343",0.7746,"sucB","2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase","SPO_RS01740",1
"SPO0344a",0,"SPO0344a","hypothetical protein","SPO_RS01750",0
"SPO0345",0.2234,"SPO0345","hypothetical protein","SPO_RS01755",0.884117571884984
"SPO0346a",0.6748,"SPO0346a","hypothetical protein","SPO_RS22730",1
"SPO0347",2,"SPO0347","succinyl-CoA synthase, beta subunit","SPO_RS01765",1
"SPO0348",0.375,"SPO0348","hypothetical protein","SPO_RS22090",1
"SPO0349",0.1424,"mdh","malate dehydrogenase, NAD-dependent","SPO_RS01775",0.686768421052632
"SPO0350",0,"SPO0350","hypothetical protein","SPO_RS01780",0
"SPO0351",0.0834,"SPO0351","hypothetical protein","SPO_RS01785",0.514361502347418
"SPO0352",0.4168,"citE","citrate lyase, beta subunit","SPO_RS01790",1
"SPO0353",0.784,"SPO0353","NnrU family protein","SPO_RS01795",1
"SPO0354",0.6478,"SPO0354","hypothetical protein","SPO_RS01800",1
"SPO0355",0.3622,"SPO0355","hypothetical protein","SPO_RS01805",1
"SPO0356",1.0066,"SPO0356","hypothetical protein","SPO_RS01810",1
"SPO0357",0.7754,"SPO0357","von Willebrand factor type A domain protein","SPO_RS01815",1
"SPO0360a",0.9838,"SPO0360a","hypothetical protein","SPO_RS22735",1
"SPO0362",0.9996,"SPO0362","type I secretion target repeat protein","SPO_RS01840",1
"SPO0363",1.0134,"SPO0363","hypothetical protein","",1
