"spo","pval","gene","funct","NCBI","padj"
"SPO0023",0.9908,"SPO0023","hydrolase, NUDIX family","SPO_RS00115",1
"SPO0024",0.6774,"hslO","chaperonin, 33 kDa","SPO_RS00120",1
"SPO0025",0.9978,"SPO0025","hydrolase, NUDIX family","SPO_RS00125",1
"SPO0027",0.2828,"SPO0027","ABC transporter, transmembrane ATP-binding protein","SPO_RS00135",1
"SPO0028",1.3274,"SPO0028","ABC transporter, transmembrane ATP-binding protein","SPO_RS00140",1
"SPO0029",0.9916,"rumA","23S rRNA (Uracil-5-)-methyltransferase rumA","SPO_RS00145",1
"SPO0030",1.0004,"SPO0030","voltage-gated sodium channel","SPO_RS00150",1
"SPO0031",1.5674,"SPO0031","ErfK/YbiS/YcfS/YnhG family protein","SPO_RS00155",1
"SPO0033",0.9868,"SPO0033","transcriptional regulator, LysR family","SPO_RS00165",1
"SPO0034",0.4858,"SPO0034","hypothetical protein","SPO_RS00170",1
"SPO0035",0.3746,"SPO0035","core-2/I-branching enzyme family protein","SPO_RS00175",1
"SPO0036",1.0074,"SPO0036","hypothetical protein","SPO_RS00180",1
"SPO0037",0.305,"SPO0037","hypothetical protein","SPO_RS00185",1
"SPO0040",1.0074,"SPO0040","ABC transporter, permease protein","SPO_RS00200",1
"SPO0041",0.9902,"SPO0041","hypothetical protein","SPO_RS22085",1
"SPO0042",0.9878,"SPO0042","alkylated DNA repair protein, putative","SPO_RS00210",1
"SPO0044",0.5288,"dnaJ","chaperone protein DnaJ","SPO_RS00220",1
"SPO0045",0.4318,"thiD","phosphomethylpyrimidine kinase","SPO_RS00225",1
"SPO0046",0.7248,"SPO0046","thiamine biosynthesis oxidoreductase ThiO, putative","SPO_RS00230",1
"SPO0046a",0.7426,"thiS","thiamine biosynthesis protein ThiS","SPO_RS00235",1
"SPO0047",0.8206,"thiG","thiazole biosynthesis protein ThiG","SPO_RS00240",1
"SPO0048",0.6332,"thiE","thiamine-phosphate pyrophosphorylase","SPO_RS00245",1
"SPO0049",1.0072,"SPO0049","thiamine biosynthesis protein ThiF","SPO_RS00250",1
"SPO0050",0.6506,"SPO0050","ABC transporter, periplasmic substrate-binding protein","SPO_RS00255",1
"SPO0051",0.9894,"SPO0051","TENA/THI-4 family protein","SPO_RS00260",1
"SPO0052",0.723,"SPO0052","ABC transporter, ATP-binding protein","SPO_RS00265",1
"SPO0053",0.427,"SPO0053","ABC transporter, permease protein","SPO_RS00270",1
"SPO0054",0.4928,"radC","DNA repair protein RadC","SPO_RS00275",1
"SPO0055",1.5646,"SPO0055","OmpA domain protein","SPO_RS00280",1
"SPO0056",1.3464,"SPO0056","hypothetical protein","SPO_RS00285",1
"SPO0057",0.3998,"secA","preprotein translocase, SecA subunit","SPO_RS00290",1
"SPO0058",0.9834,"SPO0058","PPIC-type PPIASE domain protein","SPO_RS00295",1
"SPO0059",1.0148,"argJ","glutamate N-acetyltransferase/amino-acid acetyltransferase","SPO_RS00300",1
"SPO0060",0.9964,"mutT","mutator mutT protein","SPO_RS00305",1
"SPO0062",0.656,"SPO0062","hypothetical protein","SPO_RS00315",1
"SPO0063",0.144,"nusA","transcription termination factor NusA","SPO_RS00320",0.858837837837838
"SPO0066",1.2692,"pip","proline iminopeptidase","SPO_RS00335",1
"SPO0067",0.5674,"ubiG","3-demethylubiquinone-9 3-methyltransferase","SPO_RS00340",1
"SPO0068",0.119,"SPO0068","transcriptional regulator, putative","SPO_RS00345",0.819326086956522
"SPO0069",0.1448,"SPO0069","hydrolase, carbon-nitrogen family","SPO_RS00350",0.858837837837838
"SPO0070",0.6656,"SPO0070","glutaredoxin","SPO_RS00355",1
"SPO0071",0,"SPO0071","competence protein F, putative","SPO_RS00360",0
"SPO0072",0.509,"SPO0072","hypothetical protein","SPO_RS00365",1
"SPO0075",1.5702,"SPO0075","ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein","SPO_RS00380",1
"SPO0077",0.057,"ptsN","PTS IIA-like nitrogen-regulatory protein PtsN","SPO_RS00390",0.542437340153453
"SPO0078",0,"SPO0078","ribosomal subunit interface protein, putative","SPO_RS00395",0
"SPO0084",0,"betB","betaine aldehyde dehydrogenase","SPO_RS00425",0
"SPO0085",0.5102,"SPO0085","hypothetical protein","SPO_RS00430",1
"SPO0086",1.5764,"SPO0086","lipoprotein, putative","SPO_RS00435",1
"SPO0087",0.1458,"SPO0087","hypothetical protein","SPO_RS00440",0.858837837837838
"SPO0088",1.1518,"SPO0088","hypothetical protein","SPO_RS00445",1
"SPO0089",0.991,"SPO0089","hypothetical protein","SPO_RS00450",1
"SPO0090",0.3806,"SPO0090","hypothetical protein","SPO_RS00455",1
"SPO0091",0.9974,"SPO0091","rhodanese-like domain protein","SPO_RS00460",1
"SPO0092",0.5272,"SPO0092","heat shock protein, Hsp70 family","SPO_RS00465",1
"SPO0093",1.0052,"pncA","pyrazinamidase/nicotinamidase","SPO_RS00470",1
"SPO0094",0.8246,"SPO0094","sensory box sensor histidine kinase/response regulator","SPO_RS00475",1
"SPO0095",0,"pncB","nicotinate phosphoribosyltransferase","SPO_RS00480",0
"SPO0096",0.9962,"SPO0096","hypothetical protein","SPO_RS00485",1
"SPO0097",0.3972,"SPO0097","aldehyde dehydrogenase family protein","SPO_RS00490",1
"SPO0098",0.1132,"SPO0098","peptide/opine/nickel uptake family ABC transporter, ATP-binding protein","SPO_RS00495",0.819115887850467
"SPO0099",0.8186,"SPO0099","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00500",1
"SPO0100",1.0002,"SPO0100","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00505",1
"SPO0101",0.3806,"SPO0101","peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein","SPO_RS00510",1
"SPO0102",0,"panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","SPO_RS00515",0
"SPO0103",0.031,"panC","pantoate--beta-alanine ligase","SPO_RS00520",0.333809659090909
"SPO0104",1.2734,"glpK","glycerol kinase","SPO_RS00525",1
"SPO0105",0.995,"SPO0105","monooxygenase family protein","SPO_RS00530",1
"SPO0106",1.0102,"SPO0106","hypothetical protein","SPO_RS00535",1
"SPO0107",1.002,"recQ","ATP-dependent DNA helicase RecQ","SPO_RS00540",1
"SPO0108",0.8718,"SPO0108","transposase, truncation","SPO_RS22360",1
"SPO0109",1.286,"SPO0109","hypothetical protein","SPO_RS00545",1
"SPO0110",2,"SPO0110","ABC transporter, ATP binding/permease protein","SPO_RS00550",1
"SPO0111",1.577,"SPO0111","hypothetical protein","SPO_RS00555",1
"SPO0112",1.0078,"SPO0112","poly(3-hydroxyalkanoate) polymerase family protein","SPO_RS00560",1
"SPO0113",0.9942,"fabI-1","enoyl-(acyl-carrier-protein) reductase","SPO_RS00565",1
"SPO0114",0.9994,"SPO0114","hypothetical protein","SPO_RS00570",1
"SPO0115",1.0106,"SPO0115","maoC family protein/phosphate acetyl/butaryl transferase","SPO_RS00575",1
"SPO0116",0.996,"ackA","acetate kinase","SPO_RS00580",1
"SPO0118",0.2116,"SPO0118","hypothetical protein","SPO_RS00600",1
"SPO0119",1.0046,"SPO0119","transcriptional regulator, AsnC family","SPO_RS00605",1
"SPO0120",0.8876,"SPO0120","hypothetical protein","SPO_RS00610",1
"SPO0122",0.9154,"SPO0122","YGGT family protein","SPO_RS00625",1
"SPO0123",0.0334,"SPO0123","hypothetical protein","SPO_RS00630",0.340919889502762
"SPO0124",0,"mepA","murein endopeptidase","SPO_RS00635",0
"SPO0125",0.573,"SPO0125","hypothetical protein","SPO_RS00640",1
"SPO0126",0.994,"SPO0126","hypothetical protein","SPO_RS00645",1
"SPO0127",0.4902,"SPO0127","peptidyl-tRNA hydrolase domain protein","SPO_RS00650",1
"SPO0128",1.2908,"SPO0128","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS00655",1
"SPO0129",1.089,"SPO0129","peptidase, T4 family","SPO_RS00660",1
"SPO0130",0.824,"SPO0130","cytochrome c family protein","SPO_RS00665",1
"SPO0131",1.01,"idi","isopentyl-diphosphate delta-isomerase","SPO_RS00670",1
"SPO0132",0,"SPO0132","sensor histidine kinase/response regulator","SPO_RS00675",0
"SPO0133",0.9974,"SPO0133","PAN domain protein","SPO_RS00680",1
"SPO0134",0.2364,"SPO0134","hypothetical protein","SPO_RS00685",1
"SPO0135",0.4698,"pbpC","penicillin-binding protein 1C","SPO_RS00690",1
"SPO0136",1.0088,"SPO0136","hypothetical protein","SPO_RS00695",1
"SPO0137",1.0148,"SPO0137","hypothetical protein","SPO_RS00700",1
"SPO0138",0.1846,"SPO0138","hypothetical protein","SPO_RS00705",0.982848703170029
"SPO0139",0.7332,"SPO0139","ATPase, MoxR family","SPO_RS00710",1
"SPO0140",0.8902,"SPO0140","hypothetical protein","SPO_RS00715",1
"SPO0141",1.0066,"SPO0141","DNA binding protein, putative","SPO_RS00720",1
"SPO0142",0.9976,"bktB","beta-ketothiolase","SPO_RS00730",1
"SPO0143",0.7302,"SPO0143","iron-sulfur cluster-binding protein","SPO_RS00735",1
"SPO0144",NA,"ubiB","2-polyprenylphenol 6-hydroxylase","SPO_RS00740",NA
"SPO0146",0,"mutM","formamidopyrimidine-DNA glycosylase","SPO_RS00750",0
"SPO0147",0.5538,"SPO0147","enoyl-CoA hydratase","SPO_RS00755",1
"SPO0151",0.117,"recF","DNA replication and repair protein RecF","SPO_RS00775",0.819115887850467
"SPO0152",0.471,"SPO0152","transporter, LysE family","SPO_RS00780",1
"SPO0153",0.1122,"SPO0153","transcriptional regulator, TetR family","SPO_RS00785",0.819115887850467
"SPO0154",0.4346,"SPO0154","NAD(P)H dehydrogenase, quinone family","SPO_RS00790",1
"SPO0156",0.3872,"rtcR","transcriptional regulator RtcR","SPO_RS00800",1
"SPO0157",1.0056,"SPO0157","TROVE domain protein","SPO_RS00805",1
"SPO0160",0,"SPO0160","hypothetical protein","SPO_RS00820",0
"SPO0161",0.4824,"SPO0161","DNA-binding response regulator, LuxR family","SPO_RS00825",1
"SPO0162",0.6992,"SPO0162","hypothetical protein","SPO_RS00830",1
"SPO0163",0.2946,"SPO0163","sensory box histidine kinase/response regulator","SPO_RS00835",1
"SPO0164",1.114,"SPO0164","oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase","SPO_RS00840",1
"SPO0165",0.5616,"SPO0165","pyrroline-5-carboxylate reductase, putative","SPO_RS00845",1
"SPO0166",0.7706,"SPO0166","N-methylproline demethylase, putative","SPO_RS00850",1
"SPO0167",0.9976,"SPO0167","trimethylamine methyltransferase family protein","SPO_RS00855",1
"SPO0168",0.547,"SPO0168","transcriptional regulator, TetR family","SPO_RS00860",1
"SPO0169",0.1056,"SPO0169","transglycosylase, Slt family","SPO_RS00865",0.81768267223382
"SPO0170",1.0096,"flhA","flagellar biosynthesis protein FlhA","SPO_RS00870",1
"SPO0171",0.7436,"fliR","flagellar biosynthetic protein FliR","SPO_RS00875",1
"SPO0172",0.7014,"flhB","flagellar biosynthetic protein FlhB","SPO_RS00880",1
"SPO0173",0.733,"SPO0173","hypothetical protein","SPO_RS00885",1
"SPO0174",0.6342,"SPO0174","hypothetical protein","SPO_RS00890",1
"SPO0175",0.8614,"flgH","flagellar L-ring protein FlgH","SPO_RS00895",1
"SPO0176",0.5754,"flgA","flagellar basal-body P-ring formation protein FlgA","SPO_RS00900",1
"SPO0177",0.9748,"flgG","flagellar basal-body rod protein FlgG","SPO_RS00905",1
"SPO0178",0.3792,"flgF","flagellar basal-body rod protein FlgF","SPO_RS00910",1
"SPO0179",0.7772,"fliQ","flagellar biosynthetic protein FliQ","SPO_RS00915",1
"SPO0180",0.1182,"SPO0180","flagellar hook-basal body complex protein FliE, putative","SPO_RS00920",0.819115887850467
"SPO0181",0.4838,"flgC","flagellar basal-body rod protein FlgC","SPO_RS00925",1
"SPO0182",0.4548,"flgB","flagellar basal-body rod protein FlgB","SPO_RS00930",1
"SPO0183",0.3976,"fliI","H+-transporting two-sector ATPase, flagellum-specific","SPO_RS00935",1
"SPO0184",1.5732,"tctA","TctA channel protein","SPO_RS00940",1
"SPO0185",1.0026,"tctB","TctB smaller channel protein, 4 transmembrane domains; tripartite tricarboxylate TTT transporter","",1
"SPO0186",0,"tctC","TctC solute-binding protein; tripartite tricarboxylate TTT transporter","SPO_RS00950",0
"SPO0187",0.717,"tctD","TctD DNA-binding response regulator; tripartite tricarboxylate TTT transporter","SPO_RS00955",1
"SPO0188",1.01,"SPO0188","two-component sensor protein","SPO_RS00960",1
"SPO0189",0.3454,"SPO0189","putative iron(III) substrate binding protein","SPO_RS00965",1
"SPO0190",0.522,"SPO0190","oxidoreductase, GMC family","SPO_RS00970",1
"SPO0191",0.2828,"motB","chemotaxis protein MotB","SPO_RS00975",1
"SPO0192",0.8432,"SPO0192","flagellar hook protein FlgE, putative","SPO_RS00980",1
"SPO0193",1.0112,"SPO0193","flagellar hook-associated protein FlgK, putative","SPO_RS00985",1
"SPO0194",1.0122,"SPO0194","flagellar hook-associated protein FlgL family protein","SPO_RS00990",1
"SPO0195",0.5704,"flgI","flagellar P-ring protein FlgI","SPO_RS00995",1
"SPO0196",0.6592,"fliP","flagellar biosynthetic protein FliP","SPO_RS01000",1
"SPO0197",0.5196,"fliN","flagellar motor switch protein FliN","SPO_RS01005",1
"SPO0198",0.3672,"SPO0198","ABC transporter, ATP-binding protein, flagellar, putative","SPO_RS01010",1
"SPO0199",0.6022,"fliF","flagellar M-ring protein FliF","SPO_RS01015",1
"SPO0200",0.2294,"fliL","flagellar basal body-associated protein FliL","SPO_RS01020",1
"SPO0201",0.7652,"SPO0201","hypothetical protein","SPO_RS01025",1
"SPO0202",1.0184,"SPO0202","hypothetical protein","SPO_RS01030",1
"SPO0203",0.5832,"motA","chemotaxis protein MotA","SPO_RS01035",1
"SPO0204",0.3744,"SPO0204","hypothetical protein","SPO_RS01040",1
"SPO0205",0.7006,"SPO0205","MmgE/PrpD family protein","SPO_RS01045",1
"SPO0206",0.2318,"SPO0206","transcriptional regulator, LysR family","SPO_RS01050",1
"SPO0207",0.9706,"SPO0207","aminomethyl transferase family protein","SPO_RS01055",1
"SPO0209",0.1388,"SPO0209","Na/Pi-cotransporter family protein","SPO_RS01065",0.858837837837838
"SPO0210",0.4226,"leuB","3-isopropylmalate dehydrogenase","SPO_RS01070",1
"SPO0211",0.434,"SPO0211","transcriptional regulator, LysR family","SPO_RS01075",1
"SPO0212",0.6014,"SPO0212","hypothetical protein","SPO_RS01080",1
"SPO0213",0.4536,"SPO0213","hypothetical protein","SPO_RS01085",1
"SPO0214",0.8784,"SPO0214","hypothetical protein","SPO_RS01090",1
"SPO0215",0,"leuD-1","3-isopropylmalate dehydratase, small subunit","SPO_RS01095",0
"SPO0216",0.2736,"leuC-1","3-isopropylmalate dehydratase, large subunit","SPO_RS01100",1
"SPO0217",0.6848,"SPO0217","hypothetical protein","",1
"SPO0218",0.7052,"SPO0218","mechanosensitive ion channel family protein","SPO_RS01110",1
"SPO0219",0.0266,"SPO0219","iojap-related protein","SPO_RS01115",0.333809659090909
"SPO0220",0,"rimH","Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177)","SPO_RS01120",0
"SPO0221",1.0078,"SPO0221","hypothetical protein","SPO_RS01125",1
"SPO0222",0.0286,"ald","alanine dehydrogenase","SPO_RS01130",0.333809659090909
"SPO0223",0.3842,"SPO0223","transcriptional regulator, AsnC family","SPO_RS01135",1
"SPO0224",0.6066,"SPO0224","polyphosphate kinase, putative","SPO_RS01140",1
"SPO0225",0.7998,"SPO0225","transcriptional regulator, putative","SPO_RS01145",1
"SPO0226",0.4338,"SPO0226","cytochrome P450 family protein","SPO_RS01150",1
"SPO0227",0,"SPO0227","PaxA, putative","",0
"SPO0228",1.0224,"SPO0228","hypothetical protein","",1
"SPO0230",0.2024,"SPO0230","hypothetical protein","SPO_RS01175",0.999252299605782
"SPO0231",0.982,"SPO0231","alcohol dehydrogenase, zinc-containing","SPO_RS01180",1
"SPO0232",1.0076,"SPO0232","quinone oxidoreductase, putative","SPO_RS01185",1
"SPO0233",0.9876,"SPO0233","transcriptional regulator, AsnC family","SPO_RS01190",1
"SPO0234",1.5734,"lysdh","Lysine dehydrogenase","SPO_RS01195",1
"SPO0235",1.0154,"aasadh","alpha-aminoadipic semialdehyde dehydrogenase","SPO_RS01200",1
"SPO0236",1.0054,"SPO0236","glycerophosphoryl diester phosphodiesterase, putative","SPO_RS01205",1
"SPO0237",0.9876,"ugpC","SN-glycerol-3-phosphate ABC transporter, ATP-binding protein","SPO_RS01210",1
"SPO0238",0,"ugpE","SN-glycerol-3-phosphate ABC transporter, permease protein","SPO_RS01215",0
"SPO0239",1.288,"ugpA","SN-glycerol-3-phosphate ABC transporter, permease protein","SPO_RS01220",1
"SPO0240",0.9966,"ugpB","SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein","SPO_RS01225",1
"SPO0241",0.621,"SPO0241","transcriptional regulator, LysR family","SPO_RS01230",1
"SPO0248",0,"ispA","farnesyl diphosphate synthase","SPO_RS01265",0
"SPO0249",1.0116,"xseB","exodeoxyribonuclease VII, small subunit","SPO_RS01270",1
"SPO0250",0.4202,"SPO0250","histone deacetylase family protein","SPO_RS01275",1
"SPO0252",2,"petP","transcriptional regulator PetP","SPO_RS01285",1
"SPO0253",0.9968,"ilvE","branched-chain amino acid aminotransferase","SPO_RS01290",1
"SPO0254",0,"ohr","organic hydroperoxide resistance protein","SPO_RS01295",0
"SPO0255",0.75,"SPO0255","transcriptional regulator, MarR family","SPO_RS01300",1
"SPO0256",0.1408,"SPO0256","copper-binding protein, plastocyanin/azurin family","SPO_RS01305",0.858837837837838
"SPO0257",0.6944,"SPO0257","hypothetical protein","SPO_RS01310",1
"SPO0258",1.2848,"SPO0258","transcriptional regulator, AraC family","SPO_RS01315",1
"SPO0259",0.7104,"SPO0259","hypothetical protein","SPO_RS01320",1
"SPO0260",0.8684,"SPO0260","alkaline phosphatase, putative","SPO_RS01325",1
"SPO0261",1.1902,"SPO0261","hypothetical protein","SPO_RS01330",1
"SPO0263",0.9264,"SPO0263","membrane protein","SPO_RS01340",1
"SPO0264",0.993,"SPO0264","CaiB/BaiF family protein","SPO_RS01345",1
"SPO0265",0.1746,"SPO0265","auxin efflux carrier family protein","SPO_RS01350",0.954041358936484
"SPO0266",0.6248,"SPO0266","HD domain protein","SPO_RS01355",1
"SPO0268",0.1186,"ribH-1","riboflavin synthase, beta subunit","",0.819115887850467
"SPO0269",0.8892,"SPO0269","negative transcriptional regulator","SPO_RS01370",1
"SPO0270",1.2842,"SPO0270","glutathione S-transferase family protein","SPO_RS01375",1
"SPO0273",NA,"petC","ubiquinol--cytochrome c reductase, cytochrome c1","SPO_RS01390",NA
"SPO0274",0.7164,"SPO0274","hypothetical protein","",1
"SPO0275",0.0314,"SPO0275","cytochrome b, putative","SPO_RS01400",0.333809659090909
"SPO0276",0.8608,"SPO0276","transcriptional regulator, LuxR family","SPO_RS01405",1
"SPO0277",0.9094,"SPO0277","MiaB-like tRNA modifying enzyme","SPO_RS01410",1
"SPO0280",0.3704,"SPO0280","transposase, truncation","",1
"SPO0281",0.8996,"SPO0281","hypothetical protein","SPO_RS01425",1
"SPO0282",0.1162,"SPO0282","hypothetical protein","SPO_RS01430",0.819115887850467
"SPO0284",0.1102,"SPO0284","dihydroorotase, multifunctional complex type","SPO_RS01440",0.819115887850467
"SPO0285",0.11,"SPO0285","hypothetical protein","SPO_RS01445",0.819115887850467
"SPO0286",0.225,"SPO0286","hypothetical protein","SPO_RS01450",1
"SPO0287",0.1398,"pyrB","aspartate carbamoyltransferase","SPO_RS01455",0.858837837837838
"SPO0289",0,"SPO0289","Ser/Thr protein phosphatase family protein","SPO_RS01470",0
"SPO0290",1.0144,"SPO0290","transmembrane amino acid efflux protein","SPO_RS01475",1
"SPO0291",0.0268,"SPO0291","molybdenum cofactor biosynthesis protein B","SPO_RS01480",0.333809659090909
"SPO0292",0.7258,"SPO0292","efflux transporter, RND family, MFP subunit","SPO_RS01485",1
"SPO0293",0,"SPO0293","transporter, AcrB/AcrD/AcrF family","SPO_RS01490",0
"SPO0294",0.7472,"SPO0294","hydrolase, NUDIX family","SPO_RS01495",1
"SPO0295",0.9936,"SPO0295","hypothetical protein","SPO_RS01500",1
"SPO0296",1.5778,"SPO0296","hypothetical protein","SPO_RS01505",1
"SPO0297",2,"SPO0297","Sua5/YciO/YrdC family protein","SPO_RS01510",1
"SPO0298",0,"SPO0298","acyl-CoA dehydrogenase family protein","SPO_RS01515",0
"SPO0299",1.173,"SPO0299","metallo-beta-lactamase family protein","SPO_RS01520",1
"SPO0300",0.9732,"SPO0300","hypothetical protein","SPO_RS01525",1
"SPO0301",1.1338,"SPO0301","glycerophosphoryl diester phosphodiesterase family protein","SPO_RS01530",1
"SPO0302",1.0868,"SPO0302","hypothetical protein","SPO_RS01535",1
"SPO0303",0.2274,"SPO0303","cytochrome c oxidase, subunit IV domain protein","SPO_RS01540",1
"SPO0304",1.5718,"SPO0304","lipoprotein, putative","SPO_RS01545",1
"SPO0305",0.5992,"SPO0305","AzlC family protein","SPO_RS01555",1
"SPO0306",0.0308,"fdhD","formate dehydrogenase accessory protein FdhD","SPO_RS01560",0.333809659090909
"SPO0307",0.083,"mobA","molybdopterin-guanine dinucleotide biosynthesis protein A","SPO_RS01570",0.707146551724138
"SPO0308",0.9166,"mobB","molybdopterin-guanine dinucleotide biosynthesis protein B","SPO_RS01575",1
"SPO0309",1.013,"SPO0309","hypothetical protein","SPO_RS01580",1
"SPO0310",0.2256,"moeA","molybdopterin biosynthesis protein MoeA","SPO_RS01585",1
"SPO0311",1.0074,"SPO0311","hypothetical protein","SPO_RS01590",1
"SPO0312",0.0606,"greA","transcription elongation factor GreA","SPO_RS01595",0.550164619164619
"SPO0313",0.9848,"SPO0313","glyoxalase family protein","SPO_RS01600",1
"SPO0314",0.9928,"soxR","redox-sensitive transcriptional activator SoxR","SPO_RS01605",1
"SPO0315",0.9954,"SPO0315","hypothetical protein","SPO_RS01610",1
"SPO0317",0.0306,"SPO0317","TPR domain protein","SPO_RS01620",0.333809659090909
"SPO0320",0.8856,"SPO0320","hypothetical protein","SPO_RS01635",1
"SPO0321",0.108,"SPO0321","hypothetical protein","SPO_RS01640",0.819115887850467
"SPO0322",0.087,"SPO0322","hypothetical protein","SPO_RS22380",0.707146551724138
"SPO0323",0.2846,"SPO0323","hypothetical protein","SPO_RS01645",1
"SPO0324",1.0012,"SPO0324","transcriptional regulator, LysR family","SPO_RS01650",1
"SPO0325",0.0274,"phbB","acetoacetyl-CoA reductase","SPO_RS01655",0.333809659090909
"SPO0326",0.8344,"phbA","acetyl-CoA acetyltransferase","SPO_RS01660",1
"SPO0327",0.5828,"SPO0327","EAL domain protein","SPO_RS01665",1
"SPO0328",0.6706,"SPO0328","hypothetical protein","SPO_RS01670",1
"SPO0329",0.5642,"SPO0329","hypothetical protein","SPO_RS01675",1
"SPO0330",0.9872,"ccpA","cytochrome c peroxidase","SPO_RS01680",1
"SPO0331",0.8626,"SPO0331","thiol:disulfide interchange protein, putative","SPO_RS01685",1
"SPO0332",0,"argH","argininosuccinate lyase","SPO_RS01690",0
"SPO0333",1.0048,"SPO0333","lipoprotein, putative","SPO_RS01695",1
"SPO0334",0.117,"lysA","diaminopimelate decarboxylase","SPO_RS01700",0.819115887850467
"SPO0335",0.5672,"SPO0335","hypothetical protein","SPO_RS01705",1
"SPO0336",0.34,"SPO0336","MJ0042 family finger-like domain protein","SPO_RS01710",1
"SPO0337",0,"ftsE","cell division ATP-binding protein FtsE","SPO_RS01715",0
"SPO0338",0,"SPO0338","cell division permease protein FtsX, putative","SPO_RS01720",0
"SPO0339",0.998,"SPO0339","acyltransferase family protein","SPO_RS01725",1
"SPO0342",0.0574,"SPO0342","hypothetical protein","SPO_RS01735",0.542437340153453
"SPO0343",1.0016,"sucB","2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase","SPO_RS01740",1
"SPO0344a",0,"SPO0344a","hypothetical protein","SPO_RS01750",0
"SPO0345",0.8942,"SPO0345","hypothetical protein","SPO_RS01755",1
"SPO0346a",0.4484,"SPO0346a","hypothetical protein","SPO_RS22730",1
"SPO0347",2,"SPO0347","succinyl-CoA synthase, beta subunit","SPO_RS01765",1
"SPO0348",0,"SPO0348","hypothetical protein","SPO_RS22090",0
"SPO0349",0.4958,"mdh","malate dehydrogenase, NAD-dependent","SPO_RS01775",1
"SPO0350",0.5914,"SPO0350","hypothetical protein","SPO_RS01780",1
"SPO0351",0.0896,"SPO0351","hypothetical protein","SPO_RS01785",0.710454935622318
"SPO0352",0.8368,"citE","citrate lyase, beta subunit","SPO_RS01790",1
"SPO0353",0.7486,"SPO0353","NnrU family protein","SPO_RS01795",1
"SPO0354",0.8344,"SPO0354","hypothetical protein","SPO_RS01800",1
"SPO0355",0.4008,"SPO0355","hypothetical protein","SPO_RS01805",1
"SPO0356",0.0306,"SPO0356","hypothetical protein","SPO_RS01810",0.333809659090909
"SPO0357",1.0852,"SPO0357","von Willebrand factor type A domain protein","SPO_RS01815",1
"SPO0360a",0.7048,"SPO0360a","hypothetical protein","SPO_RS22735",1
"SPO0362",1.0004,"SPO0362","type I secretion target repeat protein","SPO_RS01840",1
"SPO0363",0.9866,"SPO0363","hypothetical protein","",1
