spo,gene,funct,NCBI
SPO0075,SPO0075,ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein,SPO_RS00380
SPO0076,SPO0076,"lipoprotein, putative",SPO_RS00385
SPO0077,ptsN,PTS IIA-like nitrogen-regulatory protein PtsN,SPO_RS00390
SPO0078,SPO0078,"ribosomal subunit interface protein, putative",SPO_RS00395
SPO0079,SPO0079,"ABC transporter, ATP-binding protein",SPO_RS00400
SPO0080,SPO0080,hypothetical protein,SPO_RS00405
SPO0081,SPO0081,hypothetical protein,SPO_RS00410
SPO0082,kdsD,arabinose 5-phosphate isomerase,SPO_RS00415
SPO0083,SPO0083,"exonuclease, putative",SPO_RS00420
SPO0084,betB,betaine aldehyde dehydrogenase,SPO_RS00425
SPO0085,SPO0085,hypothetical protein,SPO_RS00430
SPO0086,SPO0086,"lipoprotein, putative",SPO_RS00435
SPO0087,SPO0087,hypothetical protein,SPO_RS00440
SPO0088,SPO0088,hypothetical protein,SPO_RS00445
SPO0089,SPO0089,hypothetical protein,SPO_RS00450
SPO0090,SPO0090,hypothetical protein,SPO_RS00455
SPO0091,SPO0091,rhodanese-like domain protein,SPO_RS00460
SPO0092,SPO0092,"heat shock protein, Hsp70 family",SPO_RS00465
SPO0093,pncA,pyrazinamidase/nicotinamidase,SPO_RS00470
SPO0094,SPO0094,sensory box sensor histidine kinase/response regulator,SPO_RS00475
SPO0095,pncB,nicotinate phosphoribosyltransferase,SPO_RS00480
SPO0096,SPO0096,hypothetical protein,SPO_RS00485
SPO0097,SPO0097,aldehyde dehydrogenase family protein,SPO_RS00490
SPO0098,SPO0098,"peptide/opine/nickel uptake family ABC transporter, ATP-binding protein",SPO_RS00495
SPO0099,SPO0099,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS00500
SPO0100,SPO0100,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS00505
SPO0101,SPO0101,"peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein",SPO_RS00510
SPO0102,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,SPO_RS00515
SPO0103,panC,pantoate--beta-alanine ligase,SPO_RS00520
SPO0104,glpK,glycerol kinase,SPO_RS00525
SPO0105,SPO0105,monooxygenase family protein,SPO_RS00530
SPO0106,SPO0106,hypothetical protein,SPO_RS00535
SPO0107,recQ,ATP-dependent DNA helicase RecQ,SPO_RS00540
SPO0108,SPO0108,"transposase, truncation",SPO_RS22360
SPO0109,SPO0109,hypothetical protein,SPO_RS00545
SPO0110,SPO0110,"ABC transporter, ATP binding/permease protein",SPO_RS00550
SPO0111,SPO0111,hypothetical protein,SPO_RS00555
SPO0112,SPO0112,poly(3-hydroxyalkanoate) polymerase family protein,SPO_RS00560
SPO0113,fabI-1,enoyl-(acyl-carrier-protein) reductase,SPO_RS00565
SPO0114,SPO0114,hypothetical protein,SPO_RS00570
SPO0115,SPO0115,maoC family protein/phosphate acetyl/butaryl transferase,SPO_RS00575
SPO0116,ackA,acetate kinase,SPO_RS00580
SPO0117,SPO0117,"transposase, degenerate",SPO_RS22365
SPO0118,SPO0118,hypothetical protein,SPO_RS00600
SPO0119,SPO0119,"transcriptional regulator, AsnC family",SPO_RS00605
SPO0120,SPO0120,hypothetical protein,SPO_RS00610
SPO0121,SPO0121,"transposase, degenerate",SPO_RS22375
SPO0122,SPO0122,YGGT family protein,SPO_RS00625
SPO0123,SPO0123,hypothetical protein,SPO_RS00630
SPO0124,mepA,murein endopeptidase,SPO_RS00635
SPO0125,SPO0125,hypothetical protein,SPO_RS00640
SPO0126,SPO0126,hypothetical protein,SPO_RS00645
SPO0127,SPO0127,peptidyl-tRNA hydrolase domain protein,SPO_RS00650
SPO0128,SPO0128,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS00655
SPO0129,SPO0129,"peptidase, T4 family",SPO_RS00660
SPO0130,SPO0130,cytochrome c family protein,SPO_RS00665
SPO0131,idi,isopentyl-diphosphate delta-isomerase,SPO_RS00670
SPO0132,SPO0132,sensor histidine kinase/response regulator,SPO_RS00675
SPO0133,SPO0133,PAN domain protein,SPO_RS00680
SPO0134,SPO0134,hypothetical protein,SPO_RS00685
SPO0135,pbpC,penicillin-binding protein 1C,SPO_RS00690
SPO0136,SPO0136,hypothetical protein,SPO_RS00695
SPO0137,SPO0137,hypothetical protein,SPO_RS00700
SPO0138,SPO0138,hypothetical protein,SPO_RS00705
SPO0139,SPO0139,"ATPase, MoxR family",SPO_RS00710
SPO0140,SPO0140,hypothetical protein,SPO_RS00715
SPO0141,SPO0141,"DNA binding protein, putative",SPO_RS00720
SPO0142,bktB,beta-ketothiolase,SPO_RS00730
SPO0143,SPO0143,iron-sulfur cluster-binding protein,SPO_RS00735
SPO0144,ubiB,2-polyprenylphenol 6-hydroxylase,SPO_RS00740
SPO0145,ubiE,ubiquinone/menaquinone biosynthesis methyltransferase UbiE,SPO_RS00745
SPO0146,mutM,formamidopyrimidine-DNA glycosylase,SPO_RS00750
SPO0147,SPO0147,enoyl-CoA hydratase,SPO_RS00755
SPO0148,rpsT,ribosomal protein S20,SPO_RS00760
SPO0149,dnaA,chromosomal replication initiator protein DnaA,SPO_RS00765
SPO0150,dnaN,"DNA polymerase III, beta subunit",SPO_RS00770
SPO0151,recF,DNA replication and repair protein RecF,SPO_RS00775
SPO0152,SPO0152,"transporter, LysE family",SPO_RS00780
SPO0153,SPO0153,"transcriptional regulator, TetR family",SPO_RS00785
SPO0154,SPO0154,"NAD(P)H dehydrogenase, quinone family",SPO_RS00790
SPO0155,gyrB,"DNA gyrase, B subunit",SPO_RS00795
SPO0156,rtcR,transcriptional regulator RtcR,SPO_RS00800
SPO0157,SPO0157,TROVE domain protein,SPO_RS00805
SPO0160,SPO0160,hypothetical protein,SPO_RS00820
SPO0161,SPO0161,"DNA-binding response regulator, LuxR family",SPO_RS00825
SPO0162,SPO0162,hypothetical protein,SPO_RS00830
SPO0163,SPO0163,sensory box histidine kinase/response regulator,SPO_RS00835
SPO0164,SPO0164,"oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase",SPO_RS00840
SPO0165,SPO0165,"pyrroline-5-carboxylate reductase, putative",SPO_RS00845
SPO0166,SPO0166,"N-methylproline demethylase, putative",SPO_RS00850
SPO0167,SPO0167,trimethylamine methyltransferase family protein,SPO_RS00855
SPO0168,SPO0168,"transcriptional regulator, TetR family",SPO_RS00860
SPO0169,SPO0169,"transglycosylase, Slt family",SPO_RS00865
SPO0170,flhA,flagellar biosynthesis protein FlhA,SPO_RS00870
SPO0171,fliR,flagellar biosynthetic protein FliR,SPO_RS00875
SPO0172,flhB,flagellar biosynthetic protein FlhB,SPO_RS00880
SPO0173,SPO0173,hypothetical protein,SPO_RS00885
SPO0174,SPO0174,hypothetical protein,SPO_RS00890
SPO0175,flgH,flagellar L-ring protein FlgH,SPO_RS00895
SPO0176,flgA,flagellar basal-body P-ring formation protein FlgA,SPO_RS00900
SPO0177,flgG,flagellar basal-body rod protein FlgG,SPO_RS00905
SPO0178,flgF,flagellar basal-body rod protein FlgF,SPO_RS00910
SPO0179,fliQ,flagellar biosynthetic protein FliQ,SPO_RS00915
SPO0180,SPO0180,"flagellar hook-basal body complex protein FliE, putative",SPO_RS00920
SPO0181,flgC,flagellar basal-body rod protein FlgC,SPO_RS00925
SPO0182,flgB,flagellar basal-body rod protein FlgB,SPO_RS00930
SPO0183,fliI,"H+-transporting two-sector ATPase, flagellum-specific",SPO_RS00935
SPO0184,tctA,TctA channel protein,SPO_RS00940
SPO0185,tctB,"TctB smaller channel protein, 4 transmembrane domains; tripartite tricarboxylate TTT transporter",
SPO0186,tctC,TctC solute-binding protein; tripartite tricarboxylate TTT transporter,SPO_RS00950
SPO0187,tctD,TctD DNA-binding response regulator; tripartite tricarboxylate TTT transporter,SPO_RS00955
SPO0188,SPO0188,two-component sensor protein,SPO_RS00960
SPO0189,SPO0189,putative iron(III) substrate binding protein,SPO_RS00965
SPO0190,SPO0190,"oxidoreductase, GMC family",SPO_RS00970
SPO0191,motB,chemotaxis protein MotB,SPO_RS00975
SPO0192,SPO0192,"flagellar hook protein FlgE, putative",SPO_RS00980
SPO0193,SPO0193,"flagellar hook-associated protein FlgK, putative",SPO_RS00985
SPO0194,SPO0194,flagellar hook-associated protein FlgL family protein,SPO_RS00990
SPO0195,flgI,flagellar P-ring protein FlgI,SPO_RS00995
SPO0196,fliP,flagellar biosynthetic protein FliP,SPO_RS01000
SPO0197,fliN,flagellar motor switch protein FliN,SPO_RS01005
SPO0198,SPO0198,"ABC transporter, ATP-binding protein, flagellar, putative",SPO_RS01010
SPO0199,fliF,flagellar M-ring protein FliF,SPO_RS01015
SPO0200,fliL,flagellar basal body-associated protein FliL,SPO_RS01020
SPO0201,SPO0201,hypothetical protein,SPO_RS01025
SPO0202,SPO0202,hypothetical protein,SPO_RS01030
SPO0203,motA,chemotaxis protein MotA,SPO_RS01035
SPO0204,SPO0204,hypothetical protein,SPO_RS01040
SPO0205,SPO0205,MmgE/PrpD family protein,SPO_RS01045
SPO0206,SPO0206,"transcriptional regulator, LysR family",SPO_RS01050
SPO0207,SPO0207,aminomethyl transferase family protein,SPO_RS01055
SPO0209,SPO0209,Na/Pi-cotransporter family protein,SPO_RS01065
SPO0210,leuB,3-isopropylmalate dehydrogenase,SPO_RS01070
SPO0211,SPO0211,"transcriptional regulator, LysR family",SPO_RS01075
SPO0212,SPO0212,hypothetical protein,SPO_RS01080
SPO0213,SPO0213,hypothetical protein,SPO_RS01085
SPO0214,SPO0214,hypothetical protein,SPO_RS01090
SPO0215,leuD-1,"3-isopropylmalate dehydratase, small subunit",SPO_RS01095
SPO0216,leuC-1,"3-isopropylmalate dehydratase, large subunit",SPO_RS01100
SPO0217,SPO0217,hypothetical protein,
SPO0218,SPO0218,mechanosensitive ion channel family protein,SPO_RS01110
SPO0219,SPO0219,iojap-related protein,SPO_RS01115
SPO0220,rimH,Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177),SPO_RS01120
SPO0221,SPO0221,hypothetical protein,SPO_RS01125
SPO0222,ald,alanine dehydrogenase,SPO_RS01130
SPO0223,SPO0223,"transcriptional regulator, AsnC family",SPO_RS01135
SPO0224,SPO0224,"polyphosphate kinase, putative",SPO_RS01140
SPO0225,SPO0225,"transcriptional regulator, putative",SPO_RS01145
SPO0226,SPO0226,cytochrome P450 family protein,SPO_RS01150
SPO0227,SPO0227,"PaxA, putative",
SPO0228,SPO0228,hypothetical protein,
SPO0229,rpsU,ribosomal protein S21,SPO_RS01170
SPO0230,SPO0230,hypothetical protein,SPO_RS01175
SPO0231,SPO0231,"alcohol dehydrogenase, zinc-containing",SPO_RS01180
SPO0232,SPO0232,"quinone oxidoreductase, putative",SPO_RS01185
SPO0233,SPO0233,"transcriptional regulator, AsnC family",SPO_RS01190
SPO0234,lysdh,Lysine dehydrogenase,SPO_RS01195
SPO0235,aasadh,alpha-aminoadipic semialdehyde dehydrogenase,SPO_RS01200
SPO0236,SPO0236,"glycerophosphoryl diester phosphodiesterase, putative",SPO_RS01205
SPO0237,ugpC,"SN-glycerol-3-phosphate ABC transporter, ATP-binding protein",SPO_RS01210
SPO0238,ugpE,"SN-glycerol-3-phosphate ABC transporter, permease protein",SPO_RS01215
SPO0239,ugpA,"SN-glycerol-3-phosphate ABC transporter, permease protein",SPO_RS01220
SPO0240,ugpB,"SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein",SPO_RS01225
SPO0241,SPO0241,"transcriptional regulator, LysR family",SPO_RS01230
SPO0247,dxs,1-deoxy-D-xylulose-5-phosphate synthase,SPO_RS01260
SPO0248,ispA,farnesyl diphosphate synthase,SPO_RS01265
SPO0249,xseB,"exodeoxyribonuclease VII, small subunit",SPO_RS01270
SPO0250,SPO0250,histone deacetylase family protein,SPO_RS01275
SPO0251,petR,DNA-binding response regulator PetR,SPO_RS01280
SPO0252,petP,transcriptional regulator PetP,SPO_RS01285
SPO0253,ilvE,branched-chain amino acid aminotransferase,SPO_RS01290
SPO0254,ohr,organic hydroperoxide resistance protein,SPO_RS01295
SPO0255,SPO0255,"transcriptional regulator, MarR family",SPO_RS01300
SPO0256,SPO0256,"copper-binding protein, plastocyanin/azurin family",SPO_RS01305
SPO0257,SPO0257,hypothetical protein,SPO_RS01310
SPO0258,SPO0258,"transcriptional regulator, AraC family",SPO_RS01315
SPO0259,SPO0259,hypothetical protein,SPO_RS01320
SPO0260,SPO0260,"alkaline phosphatase, putative",SPO_RS01325
SPO0261,SPO0261,hypothetical protein,SPO_RS01330
SPO0262,cobO,cob(I)alamin adenosyltransferase,SPO_RS01335
SPO0263,SPO0263,membrane protein,SPO_RS01340
SPO0264,SPO0264,CaiB/BaiF family protein,SPO_RS01345
SPO0265,SPO0265,auxin efflux carrier family protein,SPO_RS01350
SPO0266,SPO0266,HD domain protein,SPO_RS01355
SPO0267,aroC,chorismate synthase,SPO_RS01360
SPO0268,ribH-1,"riboflavin synthase, beta subunit",
SPO0269,SPO0269,negative transcriptional regulator,SPO_RS01370
SPO0270,SPO0270,glutathione S-transferase family protein,SPO_RS01375
SPO0271,petA,"ubiquinol-cytochrome c reductase, iron-sulfur subunit",SPO_RS01380
SPO0272,petB,"ubiquinol--cytochrome c reductase, cytochrome B",SPO_RS01385
SPO0273,petC,"ubiquinol--cytochrome c reductase, cytochrome c1",SPO_RS01390
SPO0274,SPO0274,hypothetical protein,
SPO0275,SPO0275,"cytochrome b, putative",SPO_RS01400
SPO0276,SPO0276,"transcriptional regulator, LuxR family",SPO_RS01405
SPO0277,SPO0277,MiaB-like tRNA modifying enzyme,SPO_RS01410
SPO0278,dapF,diaminopimelate epimerase,SPO_RS01415
SPO0280,SPO0280,"transposase, truncation",
SPO0281,SPO0281,hypothetical protein,SPO_RS01425
SPO0282,SPO0282,hypothetical protein,SPO_RS01430
SPO0283,plsY,Glycerol-3-phosphate acyltransferase/Acyl-phosphate--glycerol-3-phosphate acyltransferase,SPO_RS01435
SPO0284,SPO0284,"dihydroorotase, multifunctional complex type",SPO_RS01440
SPO0285,SPO0285,hypothetical protein,SPO_RS01445
SPO0286,SPO0286,hypothetical protein,SPO_RS01450
SPO0287,pyrB,aspartate carbamoyltransferase,SPO_RS01455
SPO0288,udgA,uracil-DNA glycosylase,SPO_RS01465
SPO0289,SPO0289,Ser/Thr protein phosphatase family protein,SPO_RS01470
SPO0290,SPO0290,transmembrane amino acid efflux protein,SPO_RS01475
SPO0291,SPO0291,molybdenum cofactor biosynthesis protein B,SPO_RS01480
SPO0292,SPO0292,"efflux transporter, RND family, MFP subunit",SPO_RS01485
SPO0293,SPO0293,"transporter, AcrB/AcrD/AcrF family",SPO_RS01490
SPO0294,SPO0294,"hydrolase, NUDIX family",SPO_RS01495
SPO0295,SPO0295,hypothetical protein,SPO_RS01500
SPO0296,SPO0296,hypothetical protein,SPO_RS01505
SPO0297,SPO0297,Sua5/YciO/YrdC family protein,SPO_RS01510
SPO0298,SPO0298,acyl-CoA dehydrogenase family protein,SPO_RS01515
SPO0299,SPO0299,metallo-beta-lactamase family protein,SPO_RS01520
SPO0300,SPO0300,hypothetical protein,SPO_RS01525
SPO0301,SPO0301,glycerophosphoryl diester phosphodiesterase family protein,SPO_RS01530
SPO0302,SPO0302,hypothetical protein,SPO_RS01535
SPO0303,SPO0303,"cytochrome c oxidase, subunit IV domain protein",SPO_RS01540
SPO0304,SPO0304,"lipoprotein, putative",SPO_RS01545
SPO0305,SPO0305,AzlC family protein,SPO_RS01555
SPO0306,fdhD,formate dehydrogenase accessory protein FdhD,SPO_RS01560
SPO0307,mobA,molybdopterin-guanine dinucleotide biosynthesis protein A,SPO_RS01570
SPO0308,mobB,molybdopterin-guanine dinucleotide biosynthesis protein B,SPO_RS01575
SPO0309,SPO0309,hypothetical protein,SPO_RS01580
SPO0310,moeA,molybdopterin biosynthesis protein MoeA,SPO_RS01585
SPO0311,SPO0311,hypothetical protein,SPO_RS01590
SPO0312,greA,transcription elongation factor GreA,SPO_RS01595
SPO0313,SPO0313,glyoxalase family protein,SPO_RS01600
SPO0314,soxR,redox-sensitive transcriptional activator SoxR,SPO_RS01605
SPO0315,SPO0315,hypothetical protein,SPO_RS01610
SPO0316,SPO0316,electrotransfer ubiquinone oxidoreductase family protein,SPO_RS01615
SPO0317,SPO0317,TPR domain protein,SPO_RS01620
SPO0318,ispE,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,SPO_RS01625
SPO0319,ddsA,decaprenyl diphosphate synthase,SPO_RS01630
SPO0320,SPO0320,hypothetical protein,SPO_RS01635
SPO0321,SPO0321,hypothetical protein,SPO_RS01640
SPO0322,SPO0322,hypothetical protein,SPO_RS22380
SPO0323,SPO0323,hypothetical protein,SPO_RS01645
SPO0324,SPO0324,"transcriptional regulator, LysR family",SPO_RS01650
SPO0325,phbB,acetoacetyl-CoA reductase,SPO_RS01655
SPO0326,phbA,acetyl-CoA acetyltransferase,SPO_RS01660
SPO0327,SPO0327,EAL domain protein,SPO_RS01665
SPO0328,SPO0328,hypothetical protein,SPO_RS01670
SPO0329,SPO0329,hypothetical protein,SPO_RS01675
SPO0330,ccpA,cytochrome c peroxidase,SPO_RS01680
SPO0331,SPO0331,"thiol:disulfide interchange protein, putative",SPO_RS01685
SPO0332,argH,argininosuccinate lyase,SPO_RS01690
SPO0333,SPO0333,"lipoprotein, putative",SPO_RS01695
SPO0334,lysA,diaminopimelate decarboxylase,SPO_RS01700
SPO0335,SPO0335,hypothetical protein,SPO_RS01705
SPO0336,SPO0336,MJ0042 family finger-like domain protein,SPO_RS01710
SPO0337,ftsE,cell division ATP-binding protein FtsE,SPO_RS01715
SPO0338,SPO0338,"cell division permease protein FtsX, putative",SPO_RS01720
SPO0339,SPO0339,acyltransferase family protein,SPO_RS01725
SPO0340,lpdA,"2-oxoglutarate dehydrogenase, E3 component, dihydrolipoamide dehydrogenase",SPO_RS01730
SPO0342,SPO0342,hypothetical protein,SPO_RS01735
SPO0343,sucB,"2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase",SPO_RS01740
SPO0344,sucA,"2-oxoglutarate dehydrogenase, E1 component",SPO_RS01745
SPO0344a,SPO0344a,hypothetical protein,SPO_RS01750
SPO0345,SPO0345,hypothetical protein,SPO_RS01755
SPO0346,sucD,"succinyl-CoA synthase, alpha subunit",SPO_RS01760
SPO0346a,SPO0346a,hypothetical protein,SPO_RS22730
SPO0347,SPO0347,"succinyl-CoA synthase, beta subunit",SPO_RS01765
SPO0348,SPO0348,hypothetical protein,SPO_RS22090
SPO0349,mdh,"malate dehydrogenase, NAD-dependent",SPO_RS01775
SPO0350,SPO0350,hypothetical protein,SPO_RS01780
SPO0351,SPO0351,hypothetical protein,SPO_RS01785
SPO0352,citE,"citrate lyase, beta subunit",SPO_RS01790
SPO0353,SPO0353,NnrU family protein,SPO_RS01795
SPO0354,SPO0354,hypothetical protein,SPO_RS01800
SPO0355,SPO0355,hypothetical protein,SPO_RS01805
SPO0356,SPO0356,hypothetical protein,SPO_RS01810
SPO0357,SPO0357,von Willebrand factor type A domain protein,SPO_RS01815
SPO0358,sdhC,"succinate dehydrogenase, cytochrome b556 subunit",SPO_RS01820
SPO0359,sdhD,"succinate dehydrogenase, hydrophobic membrane anchor protein",SPO_RS01825
SPO0360,sdhA,"succinate dehydrogenase, flavoprotein subunit",SPO_RS01830
SPO0360a,SPO0360a,hypothetical protein,SPO_RS22735
SPO0361,sdhB,"succinate dehydrogenase, iron-sulfur protein",SPO_RS01835
SPO0362,SPO0362,type I secretion target repeat protein,SPO_RS01840
SPO0363,SPO0363,hypothetical protein,
SPO0364,SPO0364,"decarboxylase, pyridoxal-dependent",SPO_RS01845
SPO0365,SPO0365,hypothetical protein,SPO_RS01850
SPO0366,deoD,purine nucleoside phosphorylase,SPO_RS01855
SPO0367,SPO0367,"DNA-binding protein, H-NS family",SPO_RS01860
SPO0368,SPO0368,methylmalonyl-CoA mutase,SPO_RS01865
SPO0369,SPO0369,acyltransferase family protein,SPO_RS01870
SPO0370,ccrA,crotonyl-CoA reductase,SPO_RS01875
SPO0371,luxR-1,autoinducer-binding transcriptional regulator LuxR,SPO_RS01880
SPO0372,SPO0372,autoinducer synthesis protein,SPO_RS01885
SPO0373,SPO0373,"helicase, ATP-dependent, putative",SPO_RS01890
SPO0374,SPO0374,hypothetical protein,SPO_RS01895
SPO0375,SPO0375,membrane protein,SPO_RS01900
SPO0376,SPO0376,"sugar ABC transporter, permease protein",SPO_RS01905
SPO0377,SPO0377,"sugar ABC transporter, permease protein",SPO_RS01910
SPO0378,SPO0378,"sugar ABC transporter, ATP-binding protein",SPO_RS01915
SPO0379,SPO0379,"sugar ABC transporter, periplasmic sugar-binding protein",SPO_RS01920
SPO0380,SPO0380,"ribosomal-protein-alanine acetyltransferase, putative",SPO_RS01925
SPO0381,SPO0381,"protease, putative",SPO_RS01930
SPO0382,SPO0382,nifU domain protein,SPO_RS01935
SPO0383,azoR,FMN-dependent NADH-azoreductase (EC 1.7.1.17) ,SPO_RS01940
SPO0384,SPO0384,hypothetical protein,SPO_RS22095
SPO0385,SPO0385,"2-hydroxychromene-2-carboxylate isomerase, putative",SPO_RS01950
SPO0386,SPO0386,universal stress family protein,SPO_RS01955
SPO0387,SPO0387,hypothetical protein,SPO_RS01960
SPO0388,SPO0388,"aminotransferase, class IV",SPO_RS01965
SPO0389,SPO0389,"transcriptional regulator, AsnC family",SPO_RS01970
SPO0390,SPO0390,glutamate/leucine/phenylalanine/valine dehydrogenase family protein,SPO_RS01975
SPO0391,bphC3,"biphenyl-2,3-diol 1,2-dioxygenase III",SPO_RS01980
SPO0392,trpS,tryptophanyl-tRNA synthetase,SPO_RS01985
SPO0393,SPO0393,rhomboid family protein,SPO_RS01990
SPO0394,SPO0394,hypothetical protein,SPO_RS01995
SPO0395,SPO0395,cyclic nucleotide-binding protein,SPO_RS02000
SPO0396,mviN,integral membrane protein MviN,SPO_RS02005
SPO0397,glnD,protein-P-II uridylyltransferase,SPO_RS02010
SPO0398,SPO0398,hypothetical protein,SPO_RS02015
SPO0399,SPO0399,tetrapyrrole methylase family protein,SPO_RS02020
SPO0400,SPO0400,hypothetical protein,SPO_RS02025
SPO0401,gshB,glutathione synthetase,SPO_RS02030
