"spo","pval","gene","funct","NCBI","padj"
"SPO0089",0.9954,"SPO0089","hypothetical protein","SPO_RS00450",1
"SPO0090",0.6562,"SPO0090","hypothetical protein","SPO_RS00455",1
"SPO0091",0,"SPO0091","rhodanese-like domain protein","SPO_RS00460",0
"SPO0092",0.8056,"SPO0092","heat shock protein, Hsp70 family","SPO_RS00465",1
"SPO0093",0.9966,"pncA","pyrazinamidase/nicotinamidase","SPO_RS00470",1
"SPO0094",0.5146,"SPO0094","sensory box sensor histidine kinase/response regulator","SPO_RS00475",1
"SPO0095",0,"pncB","nicotinate phosphoribosyltransferase","SPO_RS00480",0
"SPO0096",0.9896,"SPO0096","hypothetical protein","SPO_RS00485",1
"SPO0097",0.4084,"SPO0097","aldehyde dehydrogenase family protein","SPO_RS00490",1
"SPO0098",0.1182,"SPO0098","peptide/opine/nickel uptake family ABC transporter, ATP-binding protein","SPO_RS00495",0.839901923076923
"SPO0099",0.8248,"SPO0099","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00500",1
"SPO0100",1.0162,"SPO0100","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00505",1
"SPO0101",0.3756,"SPO0101","peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein","SPO_RS00510",1
"SPO0102",0,"panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","SPO_RS00515",0
"SPO0103",0.0288,"panC","pantoate--beta-alanine ligase","SPO_RS00520",0.340563253012048
"SPO0104",1.3108,"glpK","glycerol kinase","SPO_RS00525",1
"SPO0105",0.7348,"SPO0105","monooxygenase family protein","SPO_RS00530",1
"SPO0106",0.9956,"SPO0106","hypothetical protein","SPO_RS00535",1
"SPO0107",1.0062,"recQ","ATP-dependent DNA helicase RecQ","SPO_RS00540",1
"SPO0108",0.891,"SPO0108","transposase, truncation","SPO_RS22360",1
"SPO0109",0.1498,"SPO0109","hypothetical protein","SPO_RS00545",0.874424960505529
"SPO0110",2,"SPO0110","ABC transporter, ATP binding/permease protein","SPO_RS00550",1
"SPO0111",1.5814,"SPO0111","hypothetical protein","SPO_RS00555",1
"SPO0112",0.995,"SPO0112","poly(3-hydroxyalkanoate) polymerase family protein","SPO_RS00560",1
"SPO0113",1.0048,"fabI-1","enoyl-(acyl-carrier-protein) reductase","SPO_RS00565",1
"SPO0114",1.0088,"SPO0114","hypothetical protein","SPO_RS00570",1
"SPO0115",0.1444,"SPO0115","maoC family protein/phosphate acetyl/butaryl transferase","SPO_RS00575",0.874424960505529
"SPO0116",0.4142,"ackA","acetate kinase","SPO_RS00580",1
"SPO0118",0.1974,"SPO0118","hypothetical protein","SPO_RS00600",1
"SPO0119",1.0036,"SPO0119","transcriptional regulator, AsnC family","SPO_RS00605",1
"SPO0120",0.8872,"SPO0120","hypothetical protein","SPO_RS00610",1
"SPO0122",0.9936,"SPO0122","YGGT family protein","SPO_RS00625",1
"SPO0123",0.282,"SPO0123","hypothetical protein","SPO_RS00630",1
"SPO0124",0,"mepA","murein endopeptidase","SPO_RS00635",0
"SPO0125",0.5546,"SPO0125","hypothetical protein","SPO_RS00640",1
"SPO0126",0,"SPO0126","hypothetical protein","SPO_RS00645",0
"SPO0127",0.491,"SPO0127","peptidyl-tRNA hydrolase domain protein","SPO_RS00650",1
"SPO0128",1.2808,"SPO0128","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS00655",1
"SPO0129",1.0874,"SPO0129","peptidase, T4 family","SPO_RS00660",1
"SPO0130",1.0478,"SPO0130","cytochrome c family protein","SPO_RS00665",1
"SPO0131",0.9792,"idi","isopentyl-diphosphate delta-isomerase","SPO_RS00670",1
"SPO0132",0,"SPO0132","sensor histidine kinase/response regulator","SPO_RS00675",0
"SPO0133",1.004,"SPO0133","PAN domain protein","SPO_RS00680",1
"SPO0134",0.2308,"SPO0134","hypothetical protein","SPO_RS00685",1
"SPO0135",0.3942,"pbpC","penicillin-binding protein 1C","SPO_RS00690",1
"SPO0136",0.5762,"SPO0136","hypothetical protein","SPO_RS00695",1
"SPO0137",0.4184,"SPO0137","hypothetical protein","SPO_RS00700",1
"SPO0138",0.1728,"SPO0138","hypothetical protein","SPO_RS00705",0.95124255952381
"SPO0139",0.727,"SPO0139","ATPase, MoxR family","SPO_RS00710",1
"SPO0140",0.8922,"SPO0140","hypothetical protein","SPO_RS00715",1
"SPO0141",0.6184,"SPO0141","DNA binding protein, putative","SPO_RS00720",1
"SPO0142",0.9098,"bktB","beta-ketothiolase","SPO_RS00730",1
"SPO0143",0.7254,"SPO0143","iron-sulfur cluster-binding protein","SPO_RS00735",1
"SPO0144",NA,"ubiB","2-polyprenylphenol 6-hydroxylase","SPO_RS00740",NA
"SPO0146",0,"mutM","formamidopyrimidine-DNA glycosylase","SPO_RS00750",0
"SPO0147",0.5416,"SPO0147","enoyl-CoA hydratase","SPO_RS00755",1
"SPO0151",0.1136,"recF","DNA replication and repair protein RecF","SPO_RS00775",0.839901923076923
"SPO0152",1.1164,"SPO0152","transporter, LysE family","SPO_RS00780",1
"SPO0153",0.116,"SPO0153","transcriptional regulator, TetR family","SPO_RS00785",0.839901923076923
"SPO0154",0.1542,"SPO0154","NAD(P)H dehydrogenase, quinone family","SPO_RS00790",0.89586320754717
"SPO0156",0.3638,"rtcR","transcriptional regulator RtcR","SPO_RS00800",1
"SPO0157",0.998,"SPO0157","TROVE domain protein","SPO_RS00805",1
"SPO0160",0,"SPO0160","hypothetical protein","SPO_RS00820",0
"SPO0161",0.4754,"SPO0161","DNA-binding response regulator, LuxR family","SPO_RS00825",1
"SPO0162",0.8274,"SPO0162","hypothetical protein","SPO_RS00830",1
"SPO0163",0.17,"SPO0163","sensory box histidine kinase/response regulator","SPO_RS00835",0.95124255952381
"SPO0164",1.12,"SPO0164","oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase","SPO_RS00840",1
"SPO0165",0.9976,"SPO0165","pyrroline-5-carboxylate reductase, putative","SPO_RS00845",1
"SPO0166",0.6212,"SPO0166","N-methylproline demethylase, putative","SPO_RS00850",1
"SPO0167",0.891,"SPO0167","trimethylamine methyltransferase family protein","SPO_RS00855",1
"SPO0168",0.4608,"SPO0168","transcriptional regulator, TetR family","SPO_RS00860",1
"SPO0169",0.118,"SPO0169","transglycosylase, Slt family","SPO_RS00865",0.839901923076923
"SPO0170",0.9892,"flhA","flagellar biosynthesis protein FlhA","SPO_RS00870",1
"SPO0171",0.7282,"fliR","flagellar biosynthetic protein FliR","SPO_RS00875",1
"SPO0172",0.7084,"flhB","flagellar biosynthetic protein FlhB","SPO_RS00880",1
"SPO0173",0.9298,"SPO0173","hypothetical protein","SPO_RS00885",1
"SPO0174",0.558,"SPO0174","hypothetical protein","SPO_RS00890",1
"SPO0175",0.9938,"flgH","flagellar L-ring protein FlgH","SPO_RS00895",1
"SPO0176",0.4546,"flgA","flagellar basal-body P-ring formation protein FlgA","SPO_RS00900",1
"SPO0177",0.6944,"flgG","flagellar basal-body rod protein FlgG","SPO_RS00905",1
"SPO0178",0.2234,"flgF","flagellar basal-body rod protein FlgF","SPO_RS00910",1
"SPO0179",0.9472,"fliQ","flagellar biosynthetic protein FliQ","SPO_RS00915",1
"SPO0180",0.1054,"SPO0180","flagellar hook-basal body complex protein FliE, putative","SPO_RS00920",0.839901923076923
"SPO0181",0.5726,"flgC","flagellar basal-body rod protein FlgC","SPO_RS00925",1
"SPO0182",0.775,"flgB","flagellar basal-body rod protein FlgB","SPO_RS00930",1
"SPO0183",0.6482,"fliI","H+-transporting two-sector ATPase, flagellum-specific","SPO_RS00935",1
"SPO0184",1.5668,"tctA","TctA channel protein","SPO_RS00940",1
"SPO0185",1.0012,"tctB","TctB smaller channel protein, 4 transmembrane domains; tripartite tricarboxylate TTT transporter","",1
"SPO0186",1.5654,"tctC","TctC solute-binding protein; tripartite tricarboxylate TTT transporter","SPO_RS00950",1
"SPO0187",0.7104,"tctD","TctD DNA-binding response regulator; tripartite tricarboxylate TTT transporter","SPO_RS00955",1
"SPO0188",0.648,"SPO0188","two-component sensor protein","SPO_RS00960",1
"SPO0189",0.46,"SPO0189","putative iron(III) substrate binding protein","SPO_RS00965",1
"SPO0190",0.5202,"SPO0190","oxidoreductase, GMC family","SPO_RS00970",1
"SPO0191",0.6648,"motB","chemotaxis protein MotB","SPO_RS00975",1
"SPO0192",0.831,"SPO0192","flagellar hook protein FlgE, putative","SPO_RS00980",1
"SPO0193",0.8112,"SPO0193","flagellar hook-associated protein FlgK, putative","SPO_RS00985",1
"SPO0194",0.9972,"SPO0194","flagellar hook-associated protein FlgL family protein","SPO_RS00990",1
"SPO0195",0.5772,"flgI","flagellar P-ring protein FlgI","SPO_RS00995",1
"SPO0196",0.4644,"fliP","flagellar biosynthetic protein FliP","SPO_RS01000",1
"SPO0197",1.1612,"fliN","flagellar motor switch protein FliN","SPO_RS01005",1
"SPO0198",0.3734,"SPO0198","ABC transporter, ATP-binding protein, flagellar, putative","SPO_RS01010",1
"SPO0199",0.597,"fliF","flagellar M-ring protein FliF","SPO_RS01015",1
"SPO0200",0.65,"fliL","flagellar basal body-associated protein FliL","SPO_RS01020",1
"SPO0201",0.77,"SPO0201","hypothetical protein","SPO_RS01025",1
"SPO0202",0.9928,"SPO0202","hypothetical protein","SPO_RS01030",1
"SPO0203",0.5796,"motA","chemotaxis protein MotA","SPO_RS01035",1
"SPO0204",0.3618,"SPO0204","hypothetical protein","SPO_RS01040",1
"SPO0205",0.7068,"SPO0205","MmgE/PrpD family protein","SPO_RS01045",1
"SPO0206",0.512,"SPO0206","transcriptional regulator, LysR family","SPO_RS01050",1
"SPO0207",0.7994,"SPO0207","aminomethyl transferase family protein","SPO_RS01055",1
"SPO0209",0.2696,"SPO0209","Na/Pi-cotransporter family protein","SPO_RS01065",1
"SPO0210",0.4242,"leuB","3-isopropylmalate dehydrogenase","SPO_RS01070",1
"SPO0211",0,"SPO0211","transcriptional regulator, LysR family","SPO_RS01075",0
"SPO0212",0.369,"SPO0212","hypothetical protein","SPO_RS01080",1
"SPO0213",0.458,"SPO0213","hypothetical protein","SPO_RS01085",1
"SPO0214",0.8952,"SPO0214","hypothetical protein","SPO_RS01090",1
"SPO0215",0,"leuD-1","3-isopropylmalate dehydratase, small subunit","SPO_RS01095",0
"SPO0216",0.2598,"leuC-1","3-isopropylmalate dehydratase, large subunit","SPO_RS01100",1
"SPO0217",0.5842,"SPO0217","hypothetical protein","",1
"SPO0218",0.7094,"SPO0218","mechanosensitive ion channel family protein","SPO_RS01110",1
"SPO0219",0,"SPO0219","iojap-related protein","SPO_RS01115",0
"SPO0220",1.0078,"rimH","Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177)","SPO_RS01120",1
"SPO0221",0.9986,"SPO0221","hypothetical protein","SPO_RS01125",1
"SPO0222",0.0304,"ald","alanine dehydrogenase","SPO_RS01130",0.340563253012048
"SPO0223",0.37,"SPO0223","transcriptional regulator, AsnC family","SPO_RS01135",1
"SPO0224",0.4604,"SPO0224","polyphosphate kinase, putative","SPO_RS01140",1
"SPO0225",0.424,"SPO0225","transcriptional regulator, putative","SPO_RS01145",1
"SPO0226",0.2594,"SPO0226","cytochrome P450 family protein","SPO_RS01150",1
"SPO0227",0,"SPO0227","PaxA, putative","",0
"SPO0228",0.9834,"SPO0228","hypothetical protein","",1
"SPO0230",0.2152,"SPO0230","hypothetical protein","SPO_RS01175",1
"SPO0231",0.9774,"SPO0231","alcohol dehydrogenase, zinc-containing","SPO_RS01180",1
"SPO0232",1.0026,"SPO0232","quinone oxidoreductase, putative","SPO_RS01185",1
"SPO0233",0.9712,"SPO0233","transcriptional regulator, AsnC family","SPO_RS01190",1
"SPO0234",1.5816,"lysdh","Lysine dehydrogenase","SPO_RS01195",1
"SPO0235",1.0116,"aasadh","alpha-aminoadipic semialdehyde dehydrogenase","SPO_RS01200",1
"SPO0236",1.0036,"SPO0236","glycerophosphoryl diester phosphodiesterase, putative","SPO_RS01205",1
"SPO0237",1.0056,"ugpC","SN-glycerol-3-phosphate ABC transporter, ATP-binding protein","SPO_RS01210",1
"SPO0238",0.0634,"ugpE","SN-glycerol-3-phosphate ABC transporter, permease protein","SPO_RS01215",0.600674358974359
"SPO0239",0.1384,"ugpA","SN-glycerol-3-phosphate ABC transporter, permease protein","SPO_RS01220",0.874424960505529
"SPO0240",0.7078,"ugpB","SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein","SPO_RS01225",1
"SPO0241",0,"SPO0241","transcriptional regulator, LysR family","SPO_RS01230",0
"SPO0248",0.9964,"ispA","farnesyl diphosphate synthase","SPO_RS01265",1
"SPO0249",1.0198,"xseB","exodeoxyribonuclease VII, small subunit","SPO_RS01270",1
"SPO0250",0.991,"SPO0250","histone deacetylase family protein","SPO_RS01275",1
"SPO0252",2,"petP","transcriptional regulator PetP","SPO_RS01285",1
"SPO0253",0,"ilvE","branched-chain amino acid aminotransferase","SPO_RS01290",0
"SPO0254",0,"ohr","organic hydroperoxide resistance protein","SPO_RS01295",0
"SPO0255",0.8322,"SPO0255","transcriptional regulator, MarR family","SPO_RS01300",1
"SPO0256",0.4354,"SPO0256","copper-binding protein, plastocyanin/azurin family","SPO_RS01305",1
"SPO0257",1.096,"SPO0257","hypothetical protein","SPO_RS01310",1
"SPO0258",0.4312,"SPO0258","transcriptional regulator, AraC family","SPO_RS01315",1
"SPO0259",0.7018,"SPO0259","hypothetical protein","SPO_RS01320",1
"SPO0260",0.7488,"SPO0260","alkaline phosphatase, putative","SPO_RS01325",1
"SPO0261",1.1762,"SPO0261","hypothetical protein","SPO_RS01330",1
"SPO0263",0.7954,"SPO0263","membrane protein","SPO_RS01340",1
"SPO0264",1,"SPO0264","CaiB/BaiF family protein","SPO_RS01345",1
"SPO0265",0.1714,"SPO0265","auxin efflux carrier family protein","SPO_RS01350",0.95124255952381
"SPO0266",0.491,"SPO0266","HD domain protein","SPO_RS01355",1
"SPO0268",0.118,"ribH-1","riboflavin synthase, beta subunit","",0.839901923076923
"SPO0269",0.991,"SPO0269","negative transcriptional regulator","SPO_RS01370",1
"SPO0270",0,"SPO0270","glutathione S-transferase family protein","SPO_RS01375",0
"SPO0273",NA,"petC","ubiquinol--cytochrome c reductase, cytochrome c1","SPO_RS01390",NA
"SPO0274",0.5352,"SPO0274","hypothetical protein","",1
"SPO0275",0.9836,"SPO0275","cytochrome b, putative","SPO_RS01400",1
"SPO0276",0.8468,"SPO0276","transcriptional regulator, LuxR family","SPO_RS01405",1
"SPO0277",0.5754,"SPO0277","MiaB-like tRNA modifying enzyme","SPO_RS01410",1
"SPO0280",0.3704,"SPO0280","transposase, truncation","",1
"SPO0281",0.982,"SPO0281","hypothetical protein","SPO_RS01425",1
"SPO0282",0.118,"SPO0282","hypothetical protein","SPO_RS01430",0.839901923076923
"SPO0284",0.1114,"SPO0284","dihydroorotase, multifunctional complex type","SPO_RS01440",0.839901923076923
"SPO0285",0.1174,"SPO0285","hypothetical protein","SPO_RS01445",0.839901923076923
"SPO0286",0.1456,"SPO0286","hypothetical protein","SPO_RS01450",0.874424960505529
"SPO0287",0.1388,"pyrB","aspartate carbamoyltransferase","SPO_RS01455",0.874424960505529
"SPO0289",0,"SPO0289","Ser/Thr protein phosphatase family protein","SPO_RS01470",0
"SPO0290",0.7184,"SPO0290","transmembrane amino acid efflux protein","SPO_RS01475",1
"SPO0291",0.0246,"SPO0291","molybdenum cofactor biosynthesis protein B","SPO_RS01480",0.340563253012048
"SPO0292",0.7224,"SPO0292","efflux transporter, RND family, MFP subunit","SPO_RS01485",1
"SPO0293",0,"SPO0293","transporter, AcrB/AcrD/AcrF family","SPO_RS01490",0
"SPO0294",0.6014,"SPO0294","hydrolase, NUDIX family","SPO_RS01495",1
"SPO0295",0.7826,"SPO0295","hypothetical protein","SPO_RS01500",1
"SPO0296",1.5708,"SPO0296","hypothetical protein","SPO_RS01505",1
"SPO0297",2,"SPO0297","Sua5/YciO/YrdC family protein","SPO_RS01510",1
"SPO0298",0.1954,"SPO0298","acyl-CoA dehydrogenase family protein","SPO_RS01515",1
"SPO0299",0.6566,"SPO0299","metallo-beta-lactamase family protein","SPO_RS01520",1
"SPO0300",0.9932,"SPO0300","hypothetical protein","SPO_RS01525",1
"SPO0301",1.1372,"SPO0301","glycerophosphoryl diester phosphodiesterase family protein","SPO_RS01530",1
"SPO0302",0.5626,"SPO0302","hypothetical protein","SPO_RS01535",1
"SPO0303",0.2306,"SPO0303","cytochrome c oxidase, subunit IV domain protein","SPO_RS01540",1
"SPO0304",1.581,"SPO0304","lipoprotein, putative","SPO_RS01545",1
"SPO0305",0.5782,"SPO0305","AzlC family protein","SPO_RS01555",1
"SPO0306",0.0256,"fdhD","formate dehydrogenase accessory protein FdhD","SPO_RS01560",0.340563253012048
"SPO0307",0.1218,"mobA","molybdopterin-guanine dinucleotide biosynthesis protein A","SPO_RS01570",0.849152830188679
"SPO0308",1.0016,"mobB","molybdopterin-guanine dinucleotide biosynthesis protein B","SPO_RS01575",1
"SPO0309",0.9304,"SPO0309","hypothetical protein","SPO_RS01580",1
"SPO0310",0.0828,"moeA","molybdopterin biosynthesis protein MoeA","SPO_RS01585",0.751316666666667
"SPO0311",0.9846,"SPO0311","hypothetical protein","SPO_RS01590",1
"SPO0312",0.477,"greA","transcription elongation factor GreA","SPO_RS01595",1
"SPO0313",1.0268,"SPO0313","glyoxalase family protein","SPO_RS01600",1
"SPO0314",0.985,"soxR","redox-sensitive transcriptional activator SoxR","SPO_RS01605",1
"SPO0315",0.9364,"SPO0315","hypothetical protein","SPO_RS01610",1
"SPO0317",0.2824,"SPO0317","TPR domain protein","SPO_RS01620",1
"SPO0320",0.8934,"SPO0320","hypothetical protein","SPO_RS01635",1
"SPO0321",0.1078,"SPO0321","hypothetical protein","SPO_RS01640",0.839901923076923
"SPO0322",0,"SPO0322","hypothetical protein","SPO_RS22380",0
"SPO0323",0.2848,"SPO0323","hypothetical protein","SPO_RS01645",1
"SPO0324",0.9814,"SPO0324","transcriptional regulator, LysR family","SPO_RS01650",1
"SPO0325",0.0308,"phbB","acetoacetyl-CoA reductase","SPO_RS01655",0.340736526946108
"SPO0326",0.8548,"phbA","acetyl-CoA acetyltransferase","SPO_RS01660",1
"SPO0327",0.9926,"SPO0327","EAL domain protein","SPO_RS01665",1
"SPO0328",0.6616,"SPO0328","hypothetical protein","SPO_RS01670",1
"SPO0329",0.565,"SPO0329","hypothetical protein","SPO_RS01675",1
"SPO0330",0.9716,"ccpA","cytochrome c peroxidase","SPO_RS01680",1
"SPO0331",0.88,"SPO0331","thiol:disulfide interchange protein, putative","SPO_RS01685",1
"SPO0332",0,"argH","argininosuccinate lyase","SPO_RS01690",0
"SPO0333",0.9962,"SPO0333","lipoprotein, putative","SPO_RS01695",1
"SPO0334",0.1158,"lysA","diaminopimelate decarboxylase","SPO_RS01700",0.839901923076923
"SPO0335",1.0852,"SPO0335","hypothetical protein","SPO_RS01705",1
"SPO0336",0.229,"SPO0336","MJ0042 family finger-like domain protein","SPO_RS01710",1
"SPO0337",0,"ftsE","cell division ATP-binding protein FtsE","SPO_RS01715",0
"SPO0338",0,"SPO0338","cell division permease protein FtsX, putative","SPO_RS01720",0
"SPO0339",0.9896,"SPO0339","acyltransferase family protein","SPO_RS01725",1
"SPO0342",0.0836,"SPO0342","hypothetical protein","SPO_RS01735",0.751316666666667
"SPO0343",0.7774,"sucB","2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase","SPO_RS01740",1
"SPO0344a",0,"SPO0344a","hypothetical protein","SPO_RS01750",0
"SPO0345",0.869,"SPO0345","hypothetical protein","SPO_RS01755",1
"SPO0346a",0.307,"SPO0346a","hypothetical protein","SPO_RS22730",1
"SPO0347",2,"SPO0347","succinyl-CoA synthase, beta subunit","SPO_RS01765",1
"SPO0348",0,"SPO0348","hypothetical protein","SPO_RS22090",0
"SPO0349",0.4012,"mdh","malate dehydrogenase, NAD-dependent","SPO_RS01775",1
"SPO0350",0.6004,"SPO0350","hypothetical protein","SPO_RS01780",1
"SPO0351",0.7038,"SPO0351","hypothetical protein","SPO_RS01785",1
"SPO0352",0.842,"citE","citrate lyase, beta subunit","SPO_RS01790",1
"SPO0353",0.7688,"SPO0353","NnrU family protein","SPO_RS01795",1
"SPO0354",0.6724,"SPO0354","hypothetical protein","SPO_RS01800",1
"SPO0355",0.3838,"SPO0355","hypothetical protein","SPO_RS01805",1
"SPO0356",0.0264,"SPO0356","hypothetical protein","SPO_RS01810",0.340563253012048
"SPO0357",1.0864,"SPO0357","von Willebrand factor type A domain protein","SPO_RS01815",1
"SPO0360a",0.7314,"SPO0360a","hypothetical protein","SPO_RS22735",1
"SPO0362",0.9678,"SPO0362","type I secretion target repeat protein","SPO_RS01840",1
"SPO0363",1.0018,"SPO0363","hypothetical protein","",1
"SPO0364",0.995,"SPO0364","decarboxylase, pyridoxal-dependent","SPO_RS01845",1
"SPO0365",0,"SPO0365","hypothetical protein","SPO_RS01850",0
